Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADOLESCENT PSYCHIAT;0065-2008;51;;0.179;;;;0.00003;0.055;
ADULT EDUC QUART;0741-7136;270;0.189;0.616;0.050;20;>10.0;0.00029;0.184;
ADV CHILD DEV BEHAV;0065-2407;315;0.950;1.729;0.522;23;9.1;0.00076;0.860;
ADV EXP SOC PSYCHOL;0065-2601;2869;4.889;9.056;0.500;6;>10.0;0.00363;5.505;
ADV HEALTH SCI EDUC;1382-4996;780;2.089;2.059;0.429;49;4.5;0.00321;0.791;
ADV LIFE COURSE RES;1040-2608;82;1.346;;0.438;16;;0.00039;;
ADV NURS SCI;0161-9268;938;0.969;1.444;0.030;33;>10.0;0.00108;0.388;
ADV SKIN WOUND CARE;1527-7941;637;1.438;;0.231;39;5.6;0.00164;;
ADV STRATEG MANAGE;0742-3322;178;0.323;0.488;;;9.7;0.00047;0.299;
AFFILIA J WOM SOC WO;0886-1099;232;0.649;0.725;0.067;30;7.0;0.00045;0.177;
AFR AFFAIRS;0001-9909;661;1.544;1.746;0.519;27;7.8;0.00253;1.030;
AFR ASIAN STUD;1569-2094;28;0.086;;0.235;17;;0.00008;;
AFR DEV REV;1017-6772;88;0.397;0.325;0.000;30;;0.00035;0.157;
AFR J LIBR ARCH INFO;0795-4778;25;0.103;;0.154;13;;0.00003;;
AFR J PSYCHIATRY;1994-8220;112;1.068;;0.222;36;2.4;0.00053;;
AFR LINGUIST;0065-4124;17;0.200;;0.500;4;;0.00006;;
AFR SPECTR;0002-0397;48;0.375;0.260;0.000;9;;0.00031;0.161;
AFR STUD REV;0002-0206;295;0.500;;0.000;23;8.8;0.00156;;
AFR STUD-UK;0002-0184;136;0.261;;0.652;23;9.4;0.00026;;
AFRICA;0001-9720;493;0.604;0.769;0.034;29;>10.0;0.00099;0.446;
AGEING SOC;0144-686X;1108;1.165;1.569;0.145;69;7.3;0.00220;0.458;
AGGRESS VIOLENT BEH;1359-1789;1437;1.949;2.740;0.246;57;7.1;0.00394;0.947;
AGGRESSIVE BEHAV;0096-140X;1984;2.630;2.897;0.271;48;8.5;0.00496;1.118;
AGING MENT HEALTH;1360-7863;1685;1.368;1.861;0.165;115;5.8;0.00450;0.535;
AGING NEUROPSYCHOL C;1382-5585;670;1.073;1.715;0.031;32;6.6;0.00214;0.629;
AGR ECON-BLACKWELL;0169-5150;1186;0.769;1.247;0.092;65;7.5;0.00367;0.548;
AGR HIST;0002-1482;176;0.312;0.231;0.158;19;>10.0;0.00017;0.121;
AGR HUM VALUES;0889-048X;727;1.540;1.717;0.150;40;6.9;0.00213;0.645;
AGRIBUSINESS;0742-4477;314;0.672;;0.000;32;9.1;0.00069;;
AIBR-REV ANTROPOL IB;1695-9752;5;0.033;;0.000;12;;0.00002;;
AIDS BEHAV;1090-7165;3241;3.494;3.804;0.455;211;3.8;0.01471;1.265;
AIDS CARE;0954-0121;3625;1.603;1.987;0.310;216;5.8;0.01087;0.648;
AIDS EDUC PREV;0899-9546;1535;1.589;2.209;0.075;53;7.6;0.00342;0.750;
AIDS PATIENT CARE ST;1087-2914;2126;2.411;2.638;0.455;88;4.7;0.00764;0.833;
AJAR-AFR J AIDS RES;1608-5906;181;0.600;;0.000;38;3.9;0.00063;;
AJIDD-AM J INTELLECT;1944-7515;145;2.076;2.076;0.219;32;2.1;0.00075;0.617;
ALCOHOL ALCOHOLISM;0735-0414;3248;2.946;2.657;0.363;102;7.5;0.00707;0.822;
ALCOHOL RES HEALTH;1535-7414;911;0.576;1.750;0.056;36;9.0;0.00121;0.591;
ALTERNATIVES;0304-3754;274;0.268;0.713;0.000;26;8.8;0.00094;0.509;
AM ANN DEAF;0002-726X;442;0.881;0.750;0.036;28;>10.0;0.00062;0.218;
AM ANTHROPOL;0002-7294;2606;1.488;1.805;0.225;40;>10.0;0.00305;0.774;
AM ANTIQUITY;0002-7316;2147;1.515;1.655;0.281;32;>10.0;0.00164;0.540;
AM BANKRUPT LAW J;0027-9048;192;0.972;1.084;0.133;15;6.5;0.00054;0.357;
AM BEHAV SCI;0002-7642;2114;0.694;1.038;0.387;80;>10.0;0.00438;0.531;
AM BUS LAW J;0002-7766;179;1.000;1.050;0.312;16;7.1;0.00073;0.499;
AM CRIM LAW REV;0164-0364;381;0.459;0.594;0.200;35;8.4;0.00065;0.175;
AM ECON J-APPL ECON;1945-7782;265;2.757;2.811;1.444;36;2.0;0.00601;4.431;
AM ECON J-ECON POLIC;1945-7731;126;1.939;1.980;0.933;30;1.7;0.00236;2.631;
AM ECON J-MACROECON;1945-7707;252;3.800;3.836;1.281;32;1.8;0.00702;6.955;
AM ECON J-MICROECON;1945-7669;99;1.800;1.800;0.500;36;;0.00208;2.518;
AM ECON REV;0002-8282;26525;2.693;4.076;0.793;237;>10.0;0.10042;5.674;
AM EDUC RES J;0002-8312;2386;2.393;3.094;0.350;40;>10.0;0.00496;1.816;
AM ETHNOL;0094-0496;1330;1.409;1.929;0.087;46;>10.0;0.00405;1.052;
AM HIST REV;0002-8762;1342;1.103;2.202;0.161;31;>10.0;0.00460;2.024;
AM INDIAN ALASKA NAT;0893-5394;127;0.917;0.659;0.111;9;>10.0;0.00015;0.183;
AM J ADDICTION;1055-0496;1450;1.743;1.997;0.257;70;5.9;0.00467;0.694;
AM J AGR ECON;0002-9092;4224;1.169;1.572;0.186;102;>10.0;0.00713;0.718;
AM J BIOETHICS;1526-5161;1224;4.083;3.581;10.000;28;3.3;0.00482;1.412;
AM J CLIN HYPN;0002-9157;223;0.531;;0.000;26;>10.0;0.00013;;
AM J COMMUN PSYCHOL;0091-0562;3222;1.736;2.705;0.667;69;>10.0;0.00505;0.924;
AM J COMP LAW;0002-919X;415;0.654;0.713;0.458;24;>10.0;0.00076;0.233;
AM J DRUG ALCOHOL AB;0095-2990;1632;1.553;1.664;0.514;74;8.5;0.00352;0.546;
AM J ECON SOCIOL;0002-9246;360;0.302;0.466;0.208;48;>10.0;0.00096;0.252;
AM J EDUC;0195-6744;430;0.744;1.159;0.176;17;>10.0;0.00143;0.727;
AM J EVAL;1098-2140;606;2.022;2.283;0.231;26;6.4;0.00109;0.494;
AM J FAM THER;0192-6187;323;0.536;0.455;0.115;26;>10.0;0.00031;0.118;
AM J GERIAT PSYCHIAT;1064-7481;4026;3.638;3.881;1.196;107;5.4;0.01345;1.302;
AM J HEALTH BEHAV;1945-7359;1306;1.308;1.948;0.070;71;5.7;0.00453;0.708;
AM J HEALTH PROMOT;0890-1171;2133;2.373;2.653;0.319;69;8.3;0.00446;0.906;
AM J HUM BIOL;1042-0533;2163;2.267;2.211;0.323;96;6.1;0.00628;0.736;
AM J INT LAW;0002-9300;1226;1.048;0.978;0.267;75;>10.0;0.00212;0.432;
AM J LAW MED;0098-8588;299;1.444;1.556;0.526;19;6.0;0.00101;0.612;
AM J MANAG CARE;1088-0224;2621;2.458;2.540;0.358;134;5.5;0.01122;1.139;
AM J MENS HEALTH;1557-9883;173;1.152;1.235;0.192;52;3.0;0.00100;0.412;
AM J NURS;0002-936X;1048;1.119;1.164;0.150;40;6.9;0.00227;0.356;
AM J OCCUP THER;0272-9490;2502;1.697;2.009;1.569;72;>10.0;0.00212;0.366;
AM J ORTHOPSYCHIAT;0002-9432;2447;1.291;2.196;0.302;53;>10.0;0.00424;0.795;
AM J PHYS ANTHROPOL;0002-9483;9111;2.824;3.019;0.430;193;>10.0;0.01460;0.970;
AM J POLIT SCI;0092-5853;5699;2.756;3.941;0.254;63;>10.0;0.02054;3.684;
AM J PSYCHIAT;0002-953X;41901;12.539;12.679;3.583;103;9.7;0.06758;4.544;
AM J PSYCHOL;0002-9556;1827;1.086;1.142;0.114;35;>10.0;0.00117;0.433;
AM J PUBLIC HEALTH;0090-0036;24979;3.926;4.764;0.704;311;9.5;0.05274;1.971;
AM J SOCIOL;0002-9602;10394;3.169;4.561;0.429;35;>10.0;0.01064;3.070;
AM J SPEECH-LANG PAT;1058-0360;917;2.034;2.327;0.241;29;8.1;0.00187;0.695;
AM LAW ECON REV;1465-7252;205;1.143;;0.067;15;5.6;0.00202;;
AM POLIT RES;1532-673X;404;0.713;0.964;0.158;38;6.2;0.00262;0.735;
AM POLIT SCI REV;0003-0554;7650;3.050;3.759;0.326;46;>10.0;0.01609;3.916;
AM PSYCHOL;0003-066X;14908;6.869;8.991;3.125;64;>10.0;0.01622;4.172;
AM REV PUBLIC ADM;0275-0740;490;1.000;1.392;0.108;37;7.0;0.00167;0.638;
AM SOCIOL REV;0003-1224;11297;4.422;5.777;0.436;39;>10.0;0.01527;3.946;
AM SPEECH;0003-1283;260;0.396;0.558;0.125;16;>10.0;0.00049;0.257;
AMFITEATRU ECON;1582-9146;167;0.757;;0.309;55;2.4;0.00004;;
AMME IDARESI DERG;1300-1795;27;0.059;;0.000;22;;0.00001;;
AN PSICOL-SPAIN;0212-9728;205;0.568;;0.105;95;5.2;0.00023;;
AN SIST SANIT NAVAR;1137-6627;178;0.318;;0.089;45;4.6;0.00045;;
ANDAMIOS;1870-0063;1;0.017;;0.000;13;;0.00001;;
ANN AM ACAD POLIT SS;0002-7162;2123;1.006;1.379;0.175;63;8.9;0.00636;0.847;
ANN ASSOC AM GEOGR;0004-5608;2893;2.173;2.706;0.662;77;>10.0;0.00519;1.141;
ANN BEHAV MED;0883-6612;3503;4.200;4.801;0.432;74;6.6;0.00994;1.688;
ANN CLIN PSYCHIATRY;1040-1237;837;1.490;;0.184;38;7.3;0.00172;;
ANN DYSLEXIA;0736-9387;507;1.478;2.340;0.000;12;8.8;0.00075;0.868;
ANN ECON FINANC;1529-7373;77;0.471;;0.250;20;;0.00047;;
ANN HUM BIOL;0301-4460;1643;1.975;1.789;0.365;96;9.0;0.00280;0.536;
ANN PSYCHOL;0003-5033;301;0.360;0.320;0.038;26;>10.0;0.00021;0.092;
ANN REGIONAL SCI;0570-1864;686;1.026;1.121;0.043;69;7.0;0.00235;0.486;
ANN SCI;0003-3790;231;0.417;0.451;0.158;19;>10.0;0.00051;0.303;
ANN TOURISM RES;0160-7383;3646;3.259;3.356;0.183;71;>10.0;0.00276;0.639;
ANNU REV ANTHROPOL;0084-6570;2112;2.553;3.342;0.100;30;>10.0;0.00412;1.969;
ANNU REV APPL LINGUI;0267-1905;282;0.962;;0.000;15;8.0;0.00052;;
ANNU REV CLIN PSYCHO;1548-5943;1573;9.111;11.287;1.200;20;4.5;0.00830;4.815;
ANNU REV ECON;1941-1383;127;2.630;2.630;0.240;25;2.3;0.00339;4.013;
ANNU REV ENV RESOUR;1543-5938;1170;6.419;7.827;0.111;18;5.7;0.00494;3.322;
ANNU REV FINANC ECON;1941-1367;20;0.690;0.690;0.000;22;;0.00070;1.319;
ANNU REV INFORM SCI;0066-4200;462;2.955;2.984;1.182;11;7.9;0.00142;1.232;
ANNU REV LAW SOC SCI;1550-3585;195;1.000;1.583;0.105;19;4.4;0.00168;0.891;
ANNU REV POLIT SCI;1094-2939;1127;1.706;3.713;0.278;18;7.6;0.00714;3.384;
ANNU REV PSYCHOL;0066-4308;9464;16.833;23.274;3.348;23;9.2;0.02575;11.324;
ANNU REV PUBL HEALTH;0163-7525;3298;5.451;9.333;1.923;26;7.6;0.00895;4.067;
ANNU REV RESOUR ECON;1941-1340;84;1.745;1.745;0.095;21;;0.00073;0.850;
ANNU REV SOCIOL;0360-0572;4876;4.442;5.881;0.069;29;>10.0;0.00822;3.797;
ANTHR ARCHEOL EURAS;1061-1959;8;0.000;0.025;0.091;11;;0.00003;0.019;
ANTHROPOL ANZ;0003-5548;197;0.535;0.354;0.200;25;>10.0;0.00022;0.082;
ANTHROPOL EDUC QUART;0161-7761;411;0.439;0.736;0.083;24;>10.0;0.00067;0.332;
ANTHROPOL FORUM;0066-4677;79;0.360;0.543;0.143;14;;0.00027;0.212;
ANTHROPOL NOTEB;1408-032X;15;0.143;;0.000;16;;0.00005;;
ANTHROPOL QUART;0003-5491;341;0.333;0.651;0.176;34;9.1;0.00095;0.348;
ANTHROPOL SOUTH AFR;0258-0144;13;0.278;;;;;0.00019;;
ANTHROPOL THEOR;1463-4996;216;0.521;;0.048;21;6.4;0.00108;;
ANTHROPOLOGIE;0003-5521;611;0.690;0.842;0.000;23;>10.0;0.00093;0.309;
ANTHROPOLOGIST;0972-0073;67;0.184;;0.000;44;;0.00018;;
ANTHROPOS;0257-9774;182;0.283;0.229;0.032;31;>10.0;0.00016;0.063;
ANTHROZOOS;0892-7936;463;0.860;1.252;0.235;17;9.8;0.00086;0.382;
ANTIPODE;0066-4812;1480;2.150;2.217;0.453;75;7.1;0.00441;0.931;
ANTIQUITY;0003-598X;1786;1.427;1.433;0.375;88;9.4;0.00367;0.514;
ANU ESTUD MEDIEV;0066-5061;45;0.034;;0.000;15;;0.00009;;
ANXIETY STRESS COPIN;1061-5806;790;1.973;2.333;0.222;36;6.6;0.00215;0.752;
APPL COGNITIVE PSYCH;0888-4080;2362;1.667;1.983;0.294;109;8.2;0.00630;0.848;
APPL DEV SCI;1088-8691;702;0.633;;0.111;18;8.9;0.00127;;
APPL ECON;0003-6846;3054;0.459;0.771;0.044;366;8.0;0.00744;0.315;
APPL ECON LETT;1350-4851;1093;0.226;0.340;0.019;320;7.0;0.00404;0.170;
APPL ECON PERSPECT P;2040-5790;57;1.552;1.552;0.207;29;;0.00034;0.634;
APPL ERGON;0003-6870;2146;1.428;1.586;0.563;87;8.1;0.00454;0.497;
APPL GEOGR;0143-6228;1011;3.082;3.395;0.385;122;4.6;0.00187;0.629;
APPL LINGUIST;0142-6001;1209;1.885;2.536;0.652;23;>10.0;0.00291;1.267;
APPL MEAS EDUC;0895-7347;304;0.372;0.854;0.118;17;9.8;0.00104;0.591;
APPL NURS RES;0897-1897;672;1.219;1.386;0.158;38;8.2;0.00125;0.410;
APPL PSYCH MEAS;0146-6216;2904;1.493;1.677;0.194;36;>10.0;0.00360;1.175;
APPL PSYCHOL-INT REV;0269-994X;1552;1.523;3.024;0.207;29;8.8;0.00366;1.181;
APPL PSYCHOLINGUIST;0142-7164;1248;0.950;2.345;0.200;35;9.9;0.00264;1.013;
APPL PSYCHOPHYS BIOF;1090-0586;451;1.131;1.558;0.036;28;6.5;0.00085;0.385;
APPL RES QUAL LIFE;1871-2584;90;0.744;;0.036;28;;0.00055;;
AQUICHAN;1657-5997;26;0.051;;0.158;19;;0.00001;;
ARCH CLIN NEUROPSYCH;0887-6177;2331;2.178;2.627;0.191;68;6.9;0.00445;0.707;
ARCH EUR SOCIOL;0003-9756;183;0.304;0.493;0.059;17;9.5;0.00050;0.408;
ARCH GEN PSYCHIAT;0003-990X;35277;12.016;14.179;2.202;124;>10.0;0.06250;5.436;
ARCH HIST EXACT SCI;0003-9519;182;0.184;0.218;0.056;18;>10.0;0.00019;0.119;
ARCH PSYCHIAT NURS;0883-9417;599;0.921;1.135;0.149;47;8.2;0.00113;0.308;
ARCH PSYCHOL RELIG;0084-6724;36;0.342;;0.125;16;;0.00014;;
ARCH SEX BEHAV;0004-0002;3242;3.525;3.669;0.720;118;6.5;0.00756;1.049;
ARCH SUICIDE RES;1381-1118;438;1.530;;0.152;33;4.5;0.00178;;
ARCHAEOL OCEAN;0003-8121;284;1.275;1.133;0.200;15;9.9;0.00066;0.431;
ARCTIC ANTHROPOL;0066-6939;234;0.324;0.542;0.067;15;>10.0;0.00023;0.175;
AREA;0004-0894;998;1.368;1.939;0.161;62;7.0;0.00249;0.640;
ARGOS-VENEZUELA;0254-1637;2;0.074;;0.000;16;;0.00001;;
ARGUM OECON;1233-5835;7;0.118;;0.000;14;;0.00003;;
ARGUMENTATION;0920-427X;197;0.321;;0.143;28;9.9;0.00046;;
ARMED FORCES SOC;0095-327X;425;0.815;0.918;0.086;35;8.9;0.00090;0.311;
ART PSYCHOTHER;0197-4556;259;0.585;0.718;0.093;43;6.0;0.00035;0.108;
ASIA EUR J;1610-2932;29;0.053;;0.071;14;;0.00017;;
ASIA PAC BUS REV;1360-2381;146;0.492;;0.179;28;6.4;0.00028;;
ASIA PAC EDUC REV;1598-1037;123;0.472;0.433;0.048;62;3.4;0.00065;0.163;
ASIA PAC J ANTHROPOL;1444-2213;73;0.625;;0.500;28;;0.00044;;
ASIA PAC J EDUC;0218-8791;94;0.492;;0.067;30;;0.00041;;
ASIA PAC J HUM RESOU;1038-4111;208;0.861;;0.400;25;5.1;0.00053;;
ASIA PAC J MANAG;0217-4561;835;3.062;;0.622;37;5.4;0.00177;;
ASIA PAC J SOC WORK;0218-5385;9;0.037;0.048;0.000;14;;0.00001;0.009;
ASIA PAC J TOUR RES;1094-1665;140;0.300;;0.027;37;6.4;0.00020;;
ASIA PAC LAW REV;1019-2557;8;0.075;;0.000;7;;0.00001;;
ASIA PAC VIEWP;1360-7456;218;0.537;;0.111;18;5.9;0.00084;;
ASIA-PAC EDUC RES;0119-5646;63;0.958;;0.000;50;;0.00022;;
ASIA-PAC J ACCOUNT E;1608-1625;43;0.091;;0.000;18;;0.00012;;
ASIA-PAC J FINANC ST;2041-9945;68;0.367;0.331;0.167;30;;0.00011;0.036;
ASIA-PAC J PUBLIC HE;1010-5395;511;1.056;1.271;0.495;99;4.3;0.00092;0.238;
ASIA-PAC J TEACH EDU;1359-866X;143;0.556;;0.200;25;5.2;0.00047;;
ASIA-PAC PSYCHIAT;1758-5864;25;0.438;0.438;0.125;32;;0.00004;0.043;
ASIAN BUS MANAG;1472-4782;74;0.310;;0.091;22;;0.00027;;
ASIAN CASE RES J;0218-9275;5;0.000;;0.000;13;;0.00000;;
ASIAN ECON J;1351-3958;113;0.297;;0.000;20;8.5;0.00032;;
ASIAN ECON PAP;1535-3516;85;0.500;;0.267;15;;0.00035;;
ASIAN ECON POLICY R;1832-8105;90;0.423;;4.583;12;;0.00031;;
ASIAN J COMMUN;0129-2986;123;0.407;;0.059;34;6.3;0.00037;;
ASIAN J SOC PSYCHOL;1367-2223;356;0.831;1.132;0.000;27;6.9;0.00139;0.527;
ASIAN J SOC SCI;1568-4849;50;0.159;;0.037;27;;0.00032;;
ASIAN J TECHNOL INNO;1976-1597;46;0.514;;0.000;20;;0.00012;;
ASIAN J WOMEN STUD;1225-9276;30;0.152;0.145;0.000;15;;0.00006;0.044;
ASIAN J WTO INT HEAL;1819-5164;24;0.171;;0.000;14;;0.00013;;
ASIAN NURS RES;1976-1317;17;0.071;0.174;0.071;28;;0.00004;0.028;
ASIAN PAC MIGR J;0117-1968;86;0.167;;0.045;22;;0.00024;;
ASIAN PERSPECT-SEOUL;0258-9184;95;0.385;;0.074;27;;0.00043;;
ASIAN STUD REV;1035-7823;80;0.333;;0.045;22;;0.00061;;
ASIAN SURV;0004-4687;544;0.364;0.385;0.048;62;>10.0;0.00140;0.240;
ASIAN WOMEN;1225-925X;9;0.029;;0.000;17;;0.00002;;
ASIAN-PAC ECON LIT;0818-9935;36;0.407;;0.000;22;;0.00126;;
ASLIB PROC;0001-253X;256;0.635;0.699;0.056;36;5.8;0.00093;0.273;
ASSESS EVAL HIGH EDU;0260-2938;816;0.841;;0.145;55;7.5;0.00164;;
ASSESSMENT;1073-1911;1398;2.014;3.250;0.383;47;6.7;0.00389;1.153;
ASSIST INFERM RIC;1592-5986;31;0.355;;0.100;20;;0.00004;;
ASSIST TECHNOL;1040-0435;220;0.513;0.837;0.045;22;8.1;0.00032;0.177;
ASTIN BULL;0515-0361;408;0.486;0.760;0.160;25;>10.0;0.00169;0.615;
ATLANTIS-SPAIN;0210-6124;30;0.125;;0.000;16;;0.00007;;
ATTACH HUM DEV;1461-6734;747;2.380;2.238;0.343;35;6.7;0.00146;0.633;
ATTEN PERCEPT PSYCHO;1943-3921;816;2.039;2.042;0.384;198;1.9;0.00532;0.818;
AUDITING-J PRACT TH;0278-0380;723;0.960;1.510;0.140;43;9.9;0.00070;0.391;
AUGMENT ALTERN COMM;0743-4618;407;0.755;1.008;0.040;25;9.4;0.00031;0.136;
AUST ABORIG STUD;0729-4352;84;0.188;;0.000;14;;0.00006;;
AUST ACAD RES LIBR;0004-8623;67;0.333;;0.048;21;;0.00016;;
AUST ACCOUNT REV;1035-6908;106;0.322;;0.103;29;6.7;0.00017;;
AUST CRIT CARE;1036-7314;185;0.973;;0.250;24;5.8;0.00045;;
AUST ECON HIST REV;0004-8992;77;0.323;0.353;0.000;13;;0.00018;0.142;
AUST ECON PAP;0004-900X;166;0.111;;0.000;13;>10.0;0.00026;;
AUST ECON REV;0004-9018;209;0.271;0.338;0.132;38;7.6;0.00052;0.143;
AUST EDUC RES;0311-6999;127;0.286;0.519;0.077;26;6.8;0.00029;0.154;
AUST FEMINIST STUD;0816-4649;92;0.141;0.204;0.038;26;;0.00030;0.111;
AUST GEOGR;0004-9182;416;0.691;0.894;0.160;25;8.8;0.00075;0.311;
AUST J ADULT LEARN;1443-1394;12;0.020;;;;;0.00005;;
AUST J ADV NURS;0813-0531;335;0.427;0.779;0.000;36;6.4;0.00070;0.195;
AUST J AGR RESOUR EC;1364-985X;414;1.061;1.252;0.000;31;6.5;0.00154;0.556;
AUST J ANTHROPOL;1035-8811;128;0.571;;0.053;19;7.1;0.00077;;
AUST J EARLY CHILD;0312-5033;78;0.140;;0.000;33;;0.00016;;
AUST J EDUC;0004-9441;126;0.472;0.500;0.000;19;7.0;0.00031;0.177;
AUST J GUID COUNS;1037-2911;72;0.212;;0.000;15;;0.00017;;
AUST J INT AFF;1035-7718;128;0.429;0.455;0.091;33;5.2;0.00051;0.182;
AUST J LINGUIST;0726-8602;73;0.263;;0.053;19;;0.00022;;
AUST J MANAGE;0312-8962;227;0.381;;0.000;20;>10.0;0.00018;;
AUST J POLIT SCI;1036-1146;200;0.305;0.426;0.152;33;6.5;0.00068;0.184;
AUST J PRIM HEALTH;1448-7527;178;0.500;;0.291;55;4.9;0.00047;;
AUST J PSYCHOL;0004-9530;490;1.078;1.037;1.360;25;>10.0;0.00076;0.378;
AUST J PUBL ADMIN;0313-6647;329;0.547;0.765;0.200;30;7.4;0.00081;0.260;
AUST J RURAL HEALTH;1038-5282;635;1.000;;0.426;47;5.3;0.00147;;
AUST J SOC ISSUES;0157-6321;157;0.176;0.373;;;7.5;0.00040;0.146;
AUST LIBR J;0004-9670;82;0.275;;0.065;31;;0.00012;;
AUST NZ J CRIMINOL;0004-8658;177;0.609;0.748;0.130;23;6.5;0.00053;0.280;
AUST NZ J FAM THER;0814-723X;91;1.154;;0.261;23;;0.00018;;
AUST NZ J PSYCHIAT;0004-8674;4208;2.929;2.939;1.091;99;6.5;0.00949;0.847;
AUST NZ J PUBL HEAL;1326-0200;2007;1.203;1.515;0.472;72;8.2;0.00421;0.505;
AUST PSYCHOL;0005-0067;418;0.607;1.021;0.750;28;8.0;0.00081;0.308;
AUST SOC WORK;1447-0748;209;0.466;;0.529;34;5.6;0.00046;;
AUSTRALAS J AGEING;1440-6381;228;0.905;0.807;0.098;41;4.6;0.00059;0.189;
AUSTRALAS J EDUC TEC;1449-3098;438;1.517;;0.133;75;3.4;0.00099;;
AUSTRALAS J ENV MAN;1448-6563;124;0.548;;0.133;15;5.6;0.00034;;
AUSTRALAS PSYCHIATRY;1039-8562;524;0.858;;0.304;102;4.4;0.00131;;
AUTISM;1362-3613;1200;2.265;2.823;0.375;40;6.6;0.00271;0.816;
AUTISM RES;1939-3792;476;3.686;4.304;0.854;41;2.6;0.00332;1.775;
B ASOC GEOGR ESP;0212-9426;47;0.130;0.116;0.000;48;;0.00016;0.034;
B ATOM SCI;0096-3402;195;0.420;0.449;0.574;47;4.9;0.00088;0.274;
B ECON RES;0307-3378;184;0.188;;0.000;21;>10.0;0.00046;;
B HIST MED;0007-5140;530;0.514;0.913;0.250;16;>10.0;0.00109;0.575;
B INDONES ECON STUD;0007-4918;190;1.448;1.053;0.800;15;6.3;0.00055;0.401;
B LAT AM RES;0261-3050;150;0.185;;0.118;34;7.9;0.00060;;
