Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BROOKINGS PAP ECO AC;0007-2303;1793;3.458;5.932;0.333;6;>10.0;0.00788;8.415;
BUS STRATEG ENVIRON;0964-4733;1688;2.542;3.451;0.243;37;7.4;0.00257;0.888;
CALIF LAW REV;0008-1221;1890;2.155;2.303;0.633;30;>10.0;0.00306;0.974;
CAN J PSYCHIAT;0706-7437;4278;2.551;3.033;0.987;78;8.6;0.00697;0.977;
CHEM EDUC RES PRACT;1109-4028;758;2.091;1.832;0.597;62;4.9;0.00140;0.425;
CHILD ABUSE NEGLECT;0145-2134;6741;2.574;3.175;0.275;193;>10.0;0.00802;0.995;
CHILD ADOL PSYCH CL;1056-4993;1838;3.193;3.365;0.511;47;6.2;0.00474;1.185;
CHILD DEV;0009-3920;24293;4.061;6.253;0.750;164;>10.0;0.02887;2.686;
CHILD DEV PERSPECT;1750-8592;1004;3.264;3.489;0.698;43;3.6;0.00590;1.607;
CHILD MALTREATMENT;1077-5595;1577;2.373;3.708;1.217;23;8.0;0.00266;1.220;
CHILD PSYCHIAT HUM D;0009-398X;1273;2.032;2.551;0.333;72;5.5;0.00367;0.871;
CLIN CHILD FAM PSYCH;1096-4037;1630;3.146;5.865;0.182;22;8.0;0.00367;2.220;
CLIN PSYCHOL PSYCHOT;1063-3995;1591;2.632;3.008;0.216;51;6.4;0.00400;1.023;
CLIN PSYCHOL REV;0272-7358;10297;6.932;10.435;1.333;48;7.1;0.02416;3.823;
COGN NEUROPSYCHOL;0264-3294;2293;2.073;2.360;0.346;26;>10.0;0.00214;0.899;
COGNITION;0010-0277;13506;3.479;4.623;0.805;164;9.6;0.02461;1.974;
COGNITION EMOTION;0269-9931;5594;2.201;3.425;0.495;109;9.4;0.01175;1.386;
COGNITIVE DEV;0885-2014;1818;2.172;2.717;0.387;31;>10.0;0.00294;1.216;
COGNITIVE PSYCHOL;0010-0285;6582;5.064;6.420;1.031;32;>10.0;0.00548;2.898;
COGNITIVE SCI;0364-0213;3916;2.446;3.080;0.703;64;>10.0;0.00682;1.376;
COLUMBIA LAW REV;0010-1958;3567;4.012;3.621;0.568;37;>10.0;0.00488;1.575;
COMMUN RES;0093-6502;2594;2.493;3.581;0.292;48;>10.0;0.00534;1.880;
COMP POLIT STUD;0010-4140;2577;2.028;2.808;0.443;70;8.3;0.01028;2.389;
COMPR PSYCHIAT;0010-440X;4648;2.252;2.671;0.430;279;8.2;0.00761;0.790;
COMPUT EDUC;0360-1315;6218;2.556;3.227;0.631;217;4.8;0.01671;0.849;
COMPUT HUM BEHAV;0747-5632;7267;2.694;3.624;0.397;614;4.7;0.01827;0.942;
CORNELL LAW REV;0010-8847;1381;2.338;2.279;1.929;28;>10.0;0.00290;1.061;
CORP SOC RESP ENV MA;1535-3958;721;2.321;2.957;0.040;25;5.4;0.00161;0.726;
CRIMINOLOGY;0011-1384;4089;3.098;4.433;0.480;25;>10.0;0.00648;2.387;
CURR ANTHROPOL;0011-3204;4106;2.560;3.299;1.757;70;>10.0;0.00925;1.891;
CURR DIR PSYCHOL SCI;0963-7214;6921;5.678;6.776;0.535;71;7.8;0.01847;3.259;
CURR OPIN PSYCHIATR;0951-7367;2774;3.942;3.560;0.811;74;5.6;0.00719;1.119;
CURR PSYCHIAT REP;1523-3812;2129;3.238;3.320;0.225;89;4.8;0.00673;1.104;
CYBERPSYCH BEH SOC N;2152-2715;1396;2.182;3.121;0.264;110;3.3;0.00663;0.953;
DEMOGRAPHY;0070-3370;4972;2.616;3.511;0.420;100;>10.0;0.01228;2.365;
DEPRESS ANXIETY;1091-4269;6059;4.407;5.434;1.009;108;5.3;0.01845;1.839;
DEV NEUROPSYCHOL;8756-5641;2874;2.241;3.562;0.270;37;9.4;0.00453;1.263;
DEV PSYCHOL;0012-1649;17295;4.141;5.030;0.855;248;>10.0;0.02848;2.271;
DEV PSYCHOPATHOL;0954-5794;8167;3.240;5.376;0.402;102;9.5;0.01357;2.099;
DEV REV;0273-2297;2032;4.000;5.958;0.133;15;9.4;0.00298;2.640;
DEV WORLD BIOETH;1471-8731;238;2.054;1.688;0.316;19;4.6;0.00089;0.602;
DEVELOPMENTAL SCI;1363-755X;5700;3.808;5.706;1.244;86;5.9;0.01900;2.413;
DRUG ALCOHOL DEPEN;0376-8716;13688;3.423;3.903;0.530;400;6.7;0.02997;1.250;
DRUG ALCOHOL REV;0959-5236;2327;2.294;2.474;0.769;78;5.9;0.00629;0.872;
DUKE LAW J;0012-7086;1487;2.493;2.255;1.182;33;>10.0;0.00312;1.047;
ECOL ECON;0921-8009;12802;2.720;3.929;0.339;239;7.1;0.02573;1.296;
ECOL SOC;1708-3087;5515;2.774;4.028;0.555;227;5.6;0.01448;1.297;
ECON GEOGR;0013-0095;1717;2.735;5.489;0.188;16;>10.0;0.00305;2.138;
ECON J;0013-0133;8570;2.336;3.488;0.573;75;>10.0;0.02316;3.869;
ECON POLICY;0266-4658;979;2.485;3.765;0.188;16;8.8;0.00432;3.362;
ECON SYST RES;0953-5314;809;3.605;3.752;0.731;26;5.9;0.00192;1.150;
ECONOMETRICA;0012-9682;24175;3.889;5.758;1.197;66;>10.0;0.05480;10.853;
EDUC PSYCHOL REV;1040-726X;2299;2.565;4.374;1.920;25;10.0;0.00358;1.962;
EDUC PSYCHOL-US;0046-1520;2851;3.611;5.137;0.200;15;>10.0;0.00370;2.452;
EDUC RES REV-NETH;1747-938X;390;2.452;3.730;0.400;15;3.9;0.00218;1.541;
EDUC RESEARCHER;0013-189X;2986;2.527;4.286;0.513;39;>10.0;0.00630;2.363;
EMOT REV;1754-0739;930;3.356;3.653;3.487;39;3.1;0.00519;1.513;
EMOTION;1528-3542;5705;3.383;4.404;0.527;112;6.0;0.01798;1.800;
ENERG ECON;0140-9883;6329;2.708;3.374;0.336;241;5.8;0.01736;1.146;
ENERG POLICY;0301-4215;22983;2.575;3.394;0.685;629;4.9;0.05592;0.876;
ENTREP THEORY PRACT;1042-2587;3964;3.144;5.073;0.620;50;8.3;0.00664;1.609;
ENVIRON BEHAV;0013-9165;3472;2.612;3.005;0.976;41;>10.0;0.00352;1.119;
ENVIRON IMPACT ASSES;0195-9255;1845;2.400;2.540;0.356;45;7.3;0.00294;0.640;
EPIDEMIOL PSYCH SCI;2045-7960;339;3.907;3.628;0.742;31;2.5;0.00132;0.970;
EPIDEMIOLOGY;1044-3983;10623;6.196;7.052;1.500;98;8.7;0.02582;3.252;
EUR ADDICT RES;1022-6877;896;2.101;2.219;0.667;39;6.2;0.00190;0.654;
EUR CHILD ADOLES PSY;1018-8827;3151;3.336;3.742;0.629;105;6.5;0.00653;1.130;
EUR EAT DISORD REV;1072-4133;1458;2.461;2.503;0.456;68;5.2;0.00342;0.668;
EUR J INFORM SYST;0960-085X;1545;2.213;2.445;0.514;37;7.5;0.00209;0.657;
EUR J PERSONALITY;0890-2070;2161;3.347;3.410;1.364;44;8.9;0.00568;1.789;
EUR J POLIT RES;0304-4130;2687;2.508;2.225;0.500;46;10.0;0.00773;1.796;
EUR J PUBLIC HEALTH;1101-1262;3982;2.591;2.805;0.532;173;5.7;0.01092;0.974;
EUR J WORK ORGAN PSY;1359-432X;1521;2.090;2.615;0.379;66;9.0;0.00276;1.000;
EUR PSYCHIAT;0924-9338;3719;3.439;3.310;0.861;72;6.9;0.00724;1.001;
EUR REV SOC PSYCHOL;1046-3283;391;2.412;3.881;0.000;9;7.0;0.00150;2.250;
EVOL ANTHROPOL;1060-1538;1513;3.886;4.809;1.294;17;9.6;0.00305;2.045;
EVOL HUM BEHAV;1090-5138;3202;3.130;3.870;0.536;69;7.7;0.00746;1.649;
EXCEPT CHILDREN;0014-4029;1669;2.745;3.016;0.321;28;9.8;0.00265;1.337;
EXP CLIN PSYCHOPHARM;1064-1297;2466;2.712;3.259;0.367;60;7.8;0.00399;1.001;
EXP PSYCHOL;1618-3169;1173;2.076;2.475;0.800;45;5.5;0.00384;0.948;
FAM BUS REV;0894-4865;1610;5.528;4.354;1.412;17;9.0;0.00143;0.910;
FAM PROCESS;0014-7370;1617;3.000;2.728;0.913;46;>10.0;0.00184;0.645;
FOREIGN AFF;0015-7120;1820;2.009;1.951;0.570;79;8.9;0.00828;1.704;
FRONT PSYCHOL;1664-1078;6105;2.560;3.039;0.518;1244;2.4;0.02959;1.047;
FUTURE CHILD;1054-8289;1357;2.500;4.518;1.000;8;8.7;0.00335;2.486;
GEN HOSP PSYCHIAT;0163-8343;3739;2.606;3.116;0.298;161;7.1;0.00825;1.097;
GEORGETOWN LAW J;0016-8092;1631;3.141;2.697;0.579;38;8.5;0.00414;1.317;
GERIATR GERONTOL INT;1444-1586;1092;2.188;2.026;0.526;156;2.8;0.00318;0.478;
GERONTOLOGIST;0016-9013;6465;3.231;3.380;0.782;101;>10.0;0.00771;1.182;
GLOB STRATEG J;2042-5791;235;3.694;4.396;0.059;17;2.8;0.00139;1.650;
GLOBAL ENVIRON CHANG;0959-3780;7533;5.089;7.784;0.969;161;5.7;0.02222;2.855;
GLOBALIZATION HEALTH;1744-8603;708;2.250;2.789;0.308;78;3.8;0.00290;0.989;
GOV INFORM Q;0740-624X;1162;2.321;2.453;0.095;74;4.9;0.00210;0.458;
GOVERNANCE;0952-1895;1154;2.237;2.266;1.300;30;8.2;0.00293;1.291;
GROUP DECIS NEGOT;0926-2644;822;2.120;1.721;0.148;61;7.3;0.00125;0.416;
HARVARD LAW REV;0017-811X;5373;4.979;4.995;1.320;50;>10.0;0.00729;2.272;
HEALTH AFFAIR;0278-2715;11482;4.966;4.878;1.094;254;5.2;0.05561;2.647;
HEALTH ECON;1057-9230;4397;2.227;2.703;0.474;95;8.4;0.01126;1.309;
HEALTH EDUC BEHAV;1090-1981;2780;2.229;2.620;0.442;77;9.6;0.00505;0.951;
HEALTH EXPECT;1369-6513;1471;3.410;3.244;0.782;78;6.3;0.00368;1.176;
HEALTH PLACE;1353-8292;3842;2.805;3.392;0.366;142;4.8;0.01399;1.199;
HEALTH POLICY PLANN;0268-1080;2997;3.470;3.552;0.451;113;7.2;0.00721;1.339;
HEALTH PSYCHOL;0278-6133;9083;3.590;4.686;0.580;188;9.8;0.01419;1.798;
HEALTH PSYCHOL REV;1743-7199;462;6.233;5.833;1.048;21;3.2;0.00177;1.857;
HEALTH QUAL LIFE OUT;1477-7525;4539;2.120;2.835;0.165;182;6.4;0.01039;0.890;
HEALTH REP;0840-6529;1062;2.673;4.167;0.227;22;6.0;0.00274;1.368;
HEALTH SERV RES;0017-9124;5334;2.781;2.945;0.679;109;8.4;0.01394;1.571;
HUM NATURE-INT BIOS;1045-6767;1207;2.500;3.080;0.588;34;9.5;0.00233;1.297;
HUM RELAT;0018-7267;5221;2.398;3.187;0.246;61;>10.0;0.00757;1.415;
HUM RESOUR MANAGE R;1053-4822;839;2.179;3.469;0.640;25;5.4;0.00298;1.311;
IMPLEMENT SCI;1748-5908;3322;4.122;4.624;0.444;178;3.9;0.01323;1.452;
INFANCY;1525-0008;1404;2.086;2.829;0.607;28;7.4;0.00361;1.176;
INFORM SYST RES;1047-7047;4404;2.436;3.756;0.383;47;>10.0;0.00660;1.587;
INT J BEHAV MED;1070-5503;1543;2.126;2.512;0.339;115;7.3;0.00323;0.814;
INT J CLIN HLTH PSYC;1697-2600;513;2.850;2.067;0.367;30;4.7;0.00096;0.404;
INT J DRUG POLICY;0955-3959;1982;3.191;3.252;0.915;141;5.3;0.00461;0.916;
INT J EAT DISORDER;0276-3478;6935;3.126;3.222;0.672;119;>10.0;0.00777;0.862;
INT J GERIATR PSYCH;0885-6230;7313;2.866;3.149;0.631;141;8.0;0.01256;1.010;
INT J HEALTH GEOGR;1476-072X;1638;2.447;2.825;0.300;50;5.6;0.00477;0.956;
INT J MANAG REV;1460-8545;1433;3.857;5.726;0.217;23;6.4;0.00363;1.952;
INT J METH PSYCH RES;1049-8931;2122;3.759;4.022;1.227;44;9.9;0.00328;1.531;
INT J NURS STUD;0020-7489;4878;2.901;3.207;0.392;153;5.8;0.01141;0.924;
INT J PROJ MANAG;0263-7863;3416;2.436;2.758;0.408;120;7.9;0.00371;0.539;
INT J PSYCHOPHYSIOL;0167-8760;6171;2.882;2.923;0.496;135;7.9;0.01129;0.910;
INT J PUBLIC HEALTH;1661-8556;1422;2.701;2.885;0.476;103;3.9;0.00604;0.908;
INT J SUSTAIN TRANSP;1556-8318;304;2.548;2.370;0.727;22;3.6;0.00157;0.986;
INT ORGAN;0020-8183;4733;3.019;4.922;0.500;32;>10.0;0.00876;4.275;
INT REV SPORT EXER P;1750-984X;227;4.526;;0.500;12;3.6;0.00078;;
INT SECURITY;0162-2889;1759;3.868;3.712;0.286;21;>10.0;0.00484;2.928;
INTELLIGENCE;0160-2896;3224;3.245;3.734;0.933;120;7.3;0.00598;1.192;
INTERNET HIGH EDUC;1096-7516;946;2.463;2.903;0.621;29;5.5;0.00214;0.817;
J ABNORM CHILD PSYCH;0091-0627;6681;3.481;4.213;0.904;115;8.4;0.01238;1.595;
J ABNORM PSYCHOL;0021-843X;14289;5.153;6.138;0.560;75;>10.0;0.01767;2.403;
J ACAD MARKET SCI;0092-0703;5389;3.818;4.563;0.237;38;>10.0;0.00564;1.599;
J ACCOUNT ECON;0165-4101;4681;2.724;4.679;0.241;29;>10.0;0.00876;2.999;
J ACCOUNT RES;0021-8456;4302;2.384;3.387;0.278;36;>10.0;0.00714;2.418;
J ADDICT DIS;1055-0887;1089;2.123;2.351;0.132;38;7.0;0.00229;0.742;
J ADOLESCENT HEALTH;1054-139X;10691;3.612;4.050;0.868;235;7.3;0.02380;1.455;
J ADVERTISING RES;0021-8499;1877;2.563;2.543;0.304;46;>10.0;0.00225;0.720;
J AFFECT DISORDERS;0165-0327;19211;3.383;3.939;0.671;557;5.7;0.04453;1.143;
J AGRAR CHANGE;1471-0358;576;2.034;2.260;0.520;25;5.6;0.00234;1.159;
J AM ACAD CHILD PSY;0890-8567;17723;7.260;8.459;1.667;96;>10.0;0.02482;3.158;
J AM GERIATR SOC;0002-8614;24352;4.572;4.939;0.832;292;9.3;0.03881;1.689;
J AM MED INFORM ASSN;1067-5027;5832;3.504;3.866;0.650;214;5.6;0.01497;1.225;
J ANTHROPOL SCI;1827-4765;165;2.095;1.849;0.700;10;4.7;0.00048;0.565;
J ANXIETY DISORD;0887-6185;4895;2.594;3.390;0.301;123;6.4;0.01170;1.130;
J APPL PSYCHOL;0021-9010;25194;4.799;7.753;0.325;83;>10.0;0.02769;3.919;
J ARCHAEOL RES;1059-0161;391;2.500;2.643;0.333;9;8.8;0.00071;1.063;
J ARCHAEOL SCI;0305-4403;10398;2.196;2.450;0.637;441;6.9;0.01833;0.662;
J ATTEN DISORD;1087-0547;1883;3.779;3.327;0.671;70;5.1;0.00533;1.027;
J AUTISM DEV DISORD;0162-3257;13360;3.665;4.587;0.421;285;7.7;0.02050;1.273;
J BEHAV DECIS MAKING;0894-3257;1640;2.069;2.526;0.610;41;>10.0;0.00412;1.516;
J BEHAV MED;0160-7715;3478;2.959;3.608;0.375;112;8.5;0.00583;1.344;
J BEHAV THER EXP PSY;0005-7916;2262;2.312;2.603;0.479;73;7.2;0.00481;0.870;
J BUS ECON STAT;0735-0015;3628;2.241;2.928;0.353;34;>10.0;0.01172;3.549;
J BUS PSYCHOL;0889-3268;1356;2.075;3.015;0.511;47;6.6;0.00396;1.223;
J BUS VENTURING;0883-9026;4588;3.678;5.305;0.489;47;>10.0;0.00717;2.151;
J CANCER SURVIV;1932-2259;1054;3.303;3.778;0.230;74;3.9;0.00516;1.470;
J CARDIOVASC NURS;0889-4655;1176;2.053;2.193;0.484;64;5.4;0.00301;0.642;
J CHILD PSYCHOL PSYC;0021-9630;15504;6.459;6.681;1.212;118;9.2;0.02598;2.498;
J CLIN CHILD ADOLESC;1537-4416;3808;3.312;3.726;0.795;73;6.8;0.00883;1.468;
J CLIN EXP NEUROPSYC;1380-3395;4874;2.083;2.483;0.237;93;>10.0;0.00623;0.783;
J CLIN PSYCHIAT;0160-6689;18227;5.498;5.818;0.772;171;9.2;0.02548;1.829;
J CLIN PSYCHOL;0021-9762;5692;2.019;2.677;0.356;101;>10.0;0.00761;0.944;
J COGNITIVE NEUROSCI;0898-929X;16870;4.085;5.259;0.871;217;8.1;0.03416;2.001;
J COMMUN;0021-9916;3748;3.160;4.197;0.298;57;9.0;0.00837;2.116;
J COMP PSYCHOL;0735-7036;2776;2.344;2.286;0.902;41;>10.0;0.00327;0.892;
J COMPUT-MEDIAT COMM;1083-6101;2643;3.117;3.799;0.386;57;7.4;0.00437;1.581;
J CONSULT CLIN PSYCH;0022-006X;21076;5.279;6.770;0.862;109;>10.0;0.01956;2.529;
J CONSUM PSYCHOL;1057-7408;2300;2.243;2.561;0.660;53;9.0;0.00593;1.388;
J CONSUM RES;0093-5301;12348;3.125;5.003;0.422;90;>10.0;0.01426;2.351;
J COUNS PSYCHOL;0022-0167;5014;2.475;3.879;0.328;61;>10.0;0.00658;1.569;
J CRIM JUST;0047-2352;1926;3.154;2.486;0.517;58;6.2;0.00495;0.847;
J CRIM LAW CRIM;0091-4169;995;2.512;1.848;0.167;12;>10.0;0.00183;0.873;
J DEV BEHAV PEDIATR;0196-206X;3034;2.129;2.523;0.610;59;8.3;0.00544;0.879;
J ECON GEOGR;1468-2702;2065;2.494;3.814;0.568;44;6.9;0.00581;1.792;
J ECON GROWTH;1381-4338;1419;3.042;3.117;0.077;13;>10.0;0.00280;2.935;
J ECON LIT;0022-0515;5861;5.354;11.762;0.550;20;>10.0;0.02402;14.409;
J ECON PERSPECT;0895-3309;7109;4.977;6.286;0.465;43;>10.0;0.02480;7.099;
J EDUC PSYCHOL;0022-0663;11078;3.518;5.305;0.488;80;>10.0;0.01400;2.422;
J ENG EDUC;1069-4730;1172;2.059;2.722;0.042;24;8.5;0.00226;1.071;
J ENG TECHNOL MANAGE;0923-4748;694;2.060;2.081;0.333;36;9.3;0.00068;0.431;
J ENVIRON ECON MANAG;0095-0696;3730;2.394;2.923;0.283;53;>10.0;0.00816;1.882;
J ENVIRON PSYCHOL;0272-4944;4285;2.640;4.607;0.588;97;10.0;0.00699;1.618;
J EPIDEMIOL COMMUN H;0143-005X;11539;3.501;3.546;0.994;165;9.1;0.01886;1.363;
J EUR ECON ASSOC;1542-4766;2280;3.333;3.495;0.327;55;6.7;0.02105;4.857;
J EXP CHILD PSYCHOL;0022-0965;5648;2.549;3.766;0.647;139;8.4;0.01417;1.483;
J EXP PSYCHOL GEN;0096-3445;8281;5.929;6.268;0.785;172;>10.0;0.01398;3.145;
J EXP PSYCHOL HUMAN;0096-1523;11549;3.358;3.562;0.582;182;>10.0;0.01468;1.342;
J EXP PSYCHOL LEARN;0278-7393;11364;2.862;3.531;0.700;130;>10.0;0.01553;1.488;
J EXP SOC PSYCHOL;0022-1031;7989;2.285;3.140;0.568;132;7.7;0.02623;1.743;
J FINANC;0022-1082;23535;5.424;7.546;0.915;71;>10.0;0.05309;9.862;
J FINANC ECON;0304-405X;17271;4.047;5.876;0.618;102;>10.0;0.05796;6.023;
J FINANC MARK;1386-4181;847;2.111;2.058;0.196;46;>10.0;0.00384;2.013;
J GAMBL STUD;1050-5350;1696;2.290;2.639;0.375;64;8.1;0.00226;0.618;
J GERONTOL A-BIOL;1079-5006;13534;5.416;5.406;1.414;198;8.4;0.02185;1.664;
