Abbreviated Journal Title;ISSN;{2013} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2013} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ASIAN ECON J;1351-3958;127;0.263;0.442;0.000;19;8.4;0.00023;0.144;
ASIAN ECON PAP;1535-3516;90;0.467;0.500;0.059;17;;0.00025;0.187;
ASIAN ECON POLICY R;1832-8105;134;0.682;0.733;5.833;12;1.0;0.00033;0.326;
ASIAN J COMMUN;0129-2986;147;0.412;0.637;0.000;35;4.9;0.00076;0.311;
ASIAN J SOC PSYCHOL;1367-2223;431;0.466;0.925;0.342;38;9.1;0.00106;0.437;
ASIAN J SOC SCI;1568-4849;60;0.161;0.194;0.000;22;;0.00031;0.107;
ASIAN J TECHNOL INNO;1976-1597;47;0.167;0.260;0.000;37;;0.00010;0.055;
ASIAN J WOMEN STUD;1225-9276;45;0.467;0.325;0.036;28;;0.00009;0.064;
ASIAN J WTO INT HEAL;1819-5164;23;0.194;0.226;0.000;23;;0.00007;0.051;
ASIAN NURS RES;1976-1317;71;0.418;0.516;0.000;29;;0.00027;0.132;
ASIAN PAC MIGR J;0117-1968;81;0.125;0.190;0.000;22;;0.00015;0.084;
ASIAN PERSPECT-SEOUL;0258-9184;125;0.057;0.386;0.038;26;6.4;0.00055;0.252;
ASIAN POPUL STUD;1744-1730;115;0.394;;0.059;17;6.0;0.00044;;
ASIAN STUD REV;1035-7823;104;0.311;;0.061;33;7.3;0.00037;;
ASIAN SURV;0004-4687;678;0.425;0.591;0.079;63;>10.0;0.00215;0.406;
ASIAN WOMEN;1225-925X;13;0.121;0.071;0.176;17;;0.00001;0.004;
ASIAN-PAC ECON LIT;0818-9935;50;0.282;0.329;0.000;18;;0.00023;0.192;
ASLIB PROC;0001-253X;241;0.575;0.704;0.000;34;5.6;0.00078;0.253;
ASSESS EVAL HIGH EDU;0260-2938;1231;1.000;1.677;0.000;69;7.6;0.00274;0.558;
ASSESSMENT;1073-1911;2026;3.286;3.562;0.866;67;7.4;0.00450;1.345;
ASSIST INFERM RIC;1592-5986;17;0.060;0.147;;;;0.00008;0.045;
ASSIST TECHNOL;1040-0435;315;1.300;1.400;0.107;28;6.0;0.00068;0.373;
ASTIN BULL;0515-0361;462;0.612;0.723;;;>10.0;0.00098;0.399;
ATLANTIS-SPAIN;0210-6124;20;0.061;;0.000;16;;0.00003;;
ATTACH HUM DEV;1461-6734;890;1.389;2.141;0.235;34;8.1;0.00164;0.660;
ATTEN PERCEPT PSYCHO;1943-3921;1856;2.152;2.448;0.323;158;3.2;0.01232;1.059;
AUDITING-J PRACT TH;0278-0380;993;1.449;1.946;0.159;44;9.9;0.00114;0.460;
AUGMENT ALTERN COMM;0743-4618;595;1.275;1.238;0.560;25;9.8;0.00041;0.195;
AUST ABORIG STUD;0729-4352;105;0.276;0.329;0.133;15;>10.0;0.00018;0.139;
AUST ACAD RES LIBR;0004-8623;89;0.526;0.591;0.125;16;;0.00032;0.208;
AUST ACCOUNT REV;1035-6908;192;0.825;0.693;0.103;29;5.0;0.00039;0.152;
AUST ARCHAEOL;0312-2417;271;1.268;1.536;0.333;24;8.1;0.00057;0.494;
AUST CRIT CARE;1036-7314;259;1.265;;0.304;23;6.3;0.00051;;
AUST ECON HIST REV;0004-8992;82;0.296;0.391;0.071;14;;0.00031;0.272;
AUST ECON PAP;0004-900X;195;0.250;0.374;0.000;13;>10.0;0.00027;0.166;
AUST ECON REV;0004-9018;218;0.395;0.318;0.159;44;8.4;0.00041;0.114;
AUST EDUC RES;0311-6999;176;0.704;0.746;0.111;36;5.8;0.00066;0.335;
AUST FEMINIST STUD;0816-4649;157;0.264;0.441;0.042;24;7.9;0.00066;0.260;
AUST GEOGR;0004-9182;595;1.120;1.312;0.000;25;9.7;0.00120;0.524;
AUST HEALTH REV;0156-5788;772;1.000;1.127;0.063;111;5.6;0.00199;0.323;
AUST J ADULT LEARN;1443-1394;31;0.113;0.165;0.000;8;;0.00015;0.066;
AUST J ADV NURS;0813-0531;396;0.236;0.832;0.000;26;6.9;0.00067;0.226;
AUST J AGR RESOUR EC;1364-985X;502;1.065;1.468;0.103;29;6.5;0.00137;0.525;
AUST J ANTHROPOL;1035-8811;161;0.605;0.584;1.364;22;5.8;0.00037;0.252;
AUST J EARLY CHILD;0312-5033;188;0.718;0.642;0.017;59;5.3;0.00038;0.138;
AUST J EDUC;0004-9441;161;0.243;0.538;0.053;19;9.5;0.00033;0.217;
AUST J GUID COUNS;1037-2911;120;0.500;0.877;0.000;18;5.4;0.00033;0.246;
AUST J INT AFF;1035-7718;152;0.273;0.416;0.125;40;6.4;0.00052;0.195;
AUST J LINGUIST;0726-8602;106;0.400;0.354;0.091;22;>10.0;0.00024;0.179;
AUST J MANAGE;0312-8962;230;0.795;0.659;0.120;25;>10.0;0.00032;0.212;
AUST J POLIT SCI;1036-1146;302;0.659;0.564;0.154;39;6.8;0.00089;0.254;
AUST J PRIM HEALTH;1448-7527;389;1.219;1.039;0.082;49;3.9;0.00116;0.300;
AUST J PSYCHOL;0004-9530;609;0.660;1.177;2.172;29;9.6;0.00089;0.432;
AUST J PUBL ADMIN;0313-6647;417;0.435;0.860;0.421;38;6.9;0.00090;0.304;
AUST J RURAL HEALTH;1038-5282;801;1.343;1.486;0.034;59;6.2;0.00180;0.423;
AUST J SOC ISSUES;0157-6321;196;0.222;0.488;0.200;15;7.4;0.00043;0.201;
AUST LIBR J;0004-9670;85;0.226;;0.095;21;;0.00012;;
