Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADDICTION;0965-2140;13194;4.746;5.021;1.321;243;7.2;0.03019;1.701;
ADICCIONES;0214-4840;284;1.015;;0.088;34;4.7;0.00044;;
ADM POLICY MENT HLTH;0894-587X;1011;2.651;2.761;1.311;45;4.8;0.00383;0.971;
ADMIN LAW REV;0001-8368;421;0.910;0.761;0.158;19;>10.0;0.00066;0.246;
ADMIN SCI QUART;0001-8392;11743;4.182;7.693;0.375;16;>10.0;0.00860;5.593;
ADMIN SOC;0095-3997;621;0.468;1.091;0.270;37;8.2;0.00199;0.608;
ADMIN SOC WORK;0364-3107;285;0.566;0.824;0.038;26;7.7;0.00042;0.202;
ADULT EDUC QUART;0741-7136;284;0.308;0.648;0.136;22;>10.0;0.00032;0.202;
ADV CHILD DEV BEHAV;0065-2407;383;0.595;1.452;0.273;22;>10.0;0.00079;0.734;
ADV EXP SOC PSYCHOL;0065-2601;3133;5.000;7.250;0.500;12;>10.0;0.00267;4.240;
ADV HEALTH SCI EDUC;1382-4996;1049;2.061;2.606;0.538;39;4.6;0.00410;0.975;
ADV LIFE COURSE RES;1569-4909;101;0.621;;0.105;19;4.0;0.00073;;
ADV NURS SCI;0161-9268;873;0.822;1.199;0.119;42;>10.0;0.00092;0.337;
ADV SKIN WOUND CARE;1527-7941;702;1.500;;0.186;43;5.8;0.00160;;
ADV STRATEG MANAGE;0742-3322;258;0.424;0.616;3.700;10;>10.0;0.00055;0.365;
AFFILIA J WOM SOC WO;0886-1099;240;0.383;0.589;0.032;31;7.9;0.00045;0.182;
AFR AFFAIRS;0001-9909;642;1.474;1.657;0.138;29;7.9;0.00248;1.037;
AFR ASIAN STUD;1569-2094;35;0.389;;0.000;16;;0.00023;;
AFR DEV REV;1017-6772;116;0.431;0.462;0.100;30;5.3;0.00031;0.135;
AFR J LIBR ARCH INFO;0795-4778;28;0.111;0.205;0.000;13;;0.00010;0.075;
AFR J PSYCHIATRY;1994-8220;142;0.871;;0.415;41;2.8;0.00042;;
AFR LINGUIST;0065-4124;31;1.200;0.680;0.000;11;;0.00011;0.262;
AFR SPECTR;0002-0397;75;0.625;0.434;0.077;13;;0.00053;0.305;
AFR STUD REV;0002-0206;316;0.465;;0.100;10;>10.0;0.00088;;
AFR STUD-UK;0002-0184;181;0.531;0.472;0.000;24;>10.0;0.00052;0.283;
AFRICA;0001-9720;543;0.855;0.901;0.038;26;>10.0;0.00150;0.655;
AGEING SOC;0144-686X;1355;1.237;1.581;0.156;64;7.6;0.00282;0.559;
AGGRESS VIOLENT BEH;1359-1789;1517;2.137;2.446;0.246;61;7.4;0.00347;0.828;
AGGRESSIVE BEHAV;0096-140X;2025;2.247;2.523;0.133;45;8.9;0.00360;0.877;
AGING MENT HEALTH;1360-7863;2028;1.677;1.978;0.283;113;6.0;0.00558;0.643;
AGING NEUROPSYCHOL C;1382-5585;751;0.987;1.757;0.158;38;6.7;0.00213;0.658;
AGR ECON-BLACKWELL;0169-5150;1284;1.030;1.349;0.154;65;7.7;0.00384;0.609;
AGR HIST;0002-1482;193;0.114;0.217;0.056;18;>10.0;0.00012;0.080;
AGR HUM VALUES;0889-048X;790;1.355;1.658;0.105;38;7.4;0.00180;0.559;
AGRIBUSINESS;0742-4477;382;0.763;0.806;0.062;32;7.9;0.00069;0.254;
AIBR-REV ANTROPOL IB;1695-9752;9;0.111;;0.091;11;;0.00003;;
AIDS BEHAV;1090-7165;3857;2.979;3.532;0.611;247;4.0;0.01534;1.160;
AIDS CARE;0954-0121;4114;1.834;2.147;0.417;192;5.7;0.01122;0.654;
AIDS EDUC PREV;0899-9546;1636;1.484;2.069;0.071;42;8.1;0.00299;0.698;
AIDS PATIENT CARE ST;1087-2914;2432;3.090;2.899;0.595;84;5.0;0.00802;0.911;
AJAR-AFR J AIDS RES;1608-5906;185;0.262;0.502;0.083;36;5.2;0.00044;0.123;
AJIDD-AM J INTELLECT;1944-7515;273;2.554;2.561;0.559;34;2.5;0.00128;0.748;
ALCOHOL ALCOHOLISM;0735-0414;3602;1.956;2.682;0.346;104;8.0;0.00673;0.828;
ALCOHOL RES HEALTH;1535-7414;1047;1.194;1.454;0.000;26;9.7;0.00099;0.475;
ALTERNATIVES;0304-3754;220;0.106;0.486;0.000;21;9.4;0.00051;0.274;
AM ANN DEAF;0002-726X;408;0.625;0.703;0.083;24;>10.0;0.00077;0.284;
AM ANTHROPOL;0002-7294;2598;1.398;1.748;0.281;57;>10.0;0.00298;0.845;
AM ANTIQUITY;0002-7316;2198;1.662;1.700;0.189;37;>10.0;0.00161;0.543;
AM BANKRUPT LAW J;0027-9048;242;0.793;0.845;1.444;18;7.6;0.00027;0.181;
AM BEHAV SCI;0002-7642;2189;0.622;0.946;0.780;82;>10.0;0.00434;0.561;
AM BUS LAW J;0002-7766;175;1.273;1.012;0.214;14;6.3;0.00035;0.246;
AM CRIM LAW REV;0164-0364;400;0.854;0.830;0.000;37;7.9;0.00093;0.258;
AM ECON J-APPL ECON;1945-7782;481;3.539;3.836;1.450;40;2.4;0.01064;5.537;
AM ECON J-ECON POLIC;1945-7731;240;2.000;2.304;1.528;36;2.1;0.00418;3.032;
AM ECON J-MACROECON;1945-7707;409;3.191;4.092;1.733;30;2.6;0.01046;6.882;
AM ECON J-MICROECON;1945-7669;197;1.884;1.978;0.677;31;2.3;0.00488;3.138;
AM ECON REV;0002-8282;27876;2.792;4.160;1.009;235;>10.0;0.10035;5.650;
AM EDUC RES J;0002-8312;2656;3.104;3.760;0.150;40;>10.0;0.00664;2.277;
AM ETHNOL;0094-0496;1461;1.648;1.885;0.367;49;>10.0;0.00450;1.183;
AM HIST REV;0002-8762;1265;1.000;1.985;0.529;17;>10.0;0.00352;1.515;
AM INDIAN ALASKA NAT;0893-5394;129;0.583;0.846;0.083;12;>10.0;0.00019;0.280;
AM J ADDICTION;1055-0496;1579;1.638;1.969;0.146;82;6.4;0.00393;0.636;
AM J AGR ECON;0002-9092;4462;0.990;1.507;0.263;99;>10.0;0.00753;0.796;
AM J BIOETHICS;1526-5161;1274;3.597;3.766;4.482;56;3.8;0.00410;1.340;
AM J CLIN HYPN;0002-9157;292;0.419;0.584;0.826;23;>10.0;0.00018;0.100;
AM J COMMUN PSYCHOL;0091-0562;3374;1.978;3.167;0.719;89;>10.0;0.00539;1.012;
AM J COMP LAW;0002-919X;500;0.873;1.059;0.355;31;9.9;0.00132;0.493;
AM J DRUG ALCOHOL AB;0095-2990;1667;1.733;1.665;0.478;92;8.2;0.00345;0.525;
AM J ECON SOCIOL;0002-9246;381;0.389;0.365;0.061;49;>10.0;0.00082;0.213;
AM J EDUC;0195-6744;535;0.711;1.157;1.136;22;>10.0;0.00140;0.787;
AM J EVAL;1098-2140;573;1.447;1.581;0.032;31;7.1;0.00131;0.605;
AM J FAM THER;0192-6187;376;0.353;0.524;0.000;29;>10.0;0.00042;0.168;
AM J GERIAT PSYCHIAT;1064-7481;4663;4.131;4.295;1.131;107;5.6;0.01377;1.425;
AM J HEALTH BEHAV;1945-7359;1342;1.176;1.843;0.133;75;6.0;0.00390;0.627;
AM J HEALTH PROMOT;0890-1171;2185;1.754;2.458;0.393;61;8.9;0.00430;0.855;
AM J HUM BIOL;1042-0533;2421;2.335;2.389;0.486;111;6.1;0.00641;0.771;
AM J INT LAW;0002-9300;1230;0.977;1.074;0.458;48;>10.0;0.00147;0.311;
AM J LAW MED;0098-8588;268;1.444;1.351;1.444;9;5.8;0.00096;0.586;
AM J MANAG CARE;1088-0224;3007;2.117;2.738;0.366;131;5.5;0.01241;1.240;
AM J MENS HEALTH;1557-9883;201;0.897;1.022;0.212;52;3.3;0.00105;0.325;
AM J NURS;0002-936X;1179;1.389;1.277;0.333;54;7.3;0.00200;0.353;
AM J OCCUP THER;0272-9490;2348;1.471;2.021;1.535;71;9.9;0.00283;0.489;
AM J ORTHOPSYCHIAT;0002-9432;2608;1.600;2.229;0.117;60;>10.0;0.00390;0.801;
AM J PHYS ANTHROPOL;0002-9483;9359;2.481;2.851;0.690;187;>10.0;0.01311;0.885;
AM J POLIT SCI;0092-5853;6126;2.811;3.960;0.846;65;>10.0;0.01983;3.747;
AM J PSYCHIAT;0002-953X;42730;14.721;14.396;2.574;108;>10.0;0.06219;5.504;
AM J PSYCHOL;0002-9556;2452;1.030;1.206;0.387;31;>10.0;0.00130;0.465;
AM J PUBLIC HEALTH;0090-0036;26101;3.930;4.826;0.890;300;9.7;0.05135;1.964;
AM J SOCIOL;0002-9602;11166;3.414;5.239;0.613;31;>10.0;0.01316;4.009;
AM J SPEECH-LANG PAT;1058-0360;1102;2.448;2.897;0.227;44;7.7;0.00229;0.896;
AM LAW ECON REV;1465-7252;223;1.125;;0.000;18;6.6;0.00149;;
AM POLIT RES;1532-673X;522;0.667;0.970;0.108;37;7.2;0.00300;0.863;
AM POLIT SCI REV;0003-0554;8047;3.933;4.516;0.409;44;>10.0;0.01750;4.706;
AM PSYCHOL;0003-066X;15449;5.100;7.700;1.766;47;>10.0;0.01419;3.534;
AM REV PUBLIC ADM;0275-0740;474;0.781;1.257;0.114;35;6.7;0.00174;0.654;
AM SOCIOL REV;0003-1224;11865;4.077;5.563;0.700;40;>10.0;0.01435;3.950;
AM SPEECH;0003-1283;304;0.234;0.683;0.000;17;>10.0;0.00106;0.585;
AMFITEATRU ECON;1582-9146;172;0.953;;0.260;50;2.5;0.00009;;
AMME IDARESI DERG;1300-1795;23;0.042;0.024;0.000;27;;0.00000;0.002;
AN PSICOL-SPAIN;0212-9728;294;0.552;0.594;0.128;109;5.2;0.00039;0.085;
AN SIST SANIT NAVAR;1137-6627;151;0.351;0.248;0.062;32;5.7;0.00026;0.048;
ANAL SOC ISS PUB POL;1529-7489;231;1.641;;0.205;39;5.0;0.00071;;
ANN AM ACAD POLIT SS;0002-7162;2221;0.856;1.440;0.179;78;9.2;0.00586;0.869;
ANN ASSOC AM GEOGR;0004-5608;3237;2.110;2.593;0.344;93;>10.0;0.00491;0.987;
ANN BEHAV MED;0883-6612;3982;3.169;4.877;0.972;71;7.1;0.01076;1.856;
ANN CLIN PSYCHIATRY;1040-1237;910;1.544;;1.217;23;7.4;0.00189;;
ANN DYSLEXIA;0736-9387;565;1.520;2.094;0.333;12;>10.0;0.00074;0.798;
ANN ECON FINANC;1529-7373;95;0.278;0.363;0.125;16;;0.00047;0.298;
ANN GEN PSYCHIATR;1744-859X;390;1.569;;0.069;29;4.5;0.00156;;
ANN HUM BIOL;0301-4460;1730;1.484;1.759;0.197;66;9.9;0.00309;0.539;
ANN PSYCHOL;0003-5033;284;0.235;0.264;0.083;24;>10.0;0.00034;0.154;
ANN REGIONAL SCI;0570-1864;825;0.901;1.155;0.023;88;7.3;0.00237;0.479;
ANN SCI;0003-3790;217;0.541;0.500;0.158;19;>10.0;0.00109;0.680;
ANN TOURISM RES;0160-7383;4544;3.683;3.616;0.344;90;>10.0;0.00262;0.589;
ANNU REV ANTHROPOL;0084-6570;2277;2.237;2.798;0.286;35;>10.0;0.00276;1.326;
ANNU REV APPL LINGUI;0267-1905;290;0.862;;0.000;12;9.9;0.00052;;
ANNU REV CLIN PSYCHO;1548-5943;2043;12.422;14.073;1.444;18;4.7;0.00962;5.738;
ANNU REV ECON;1941-1383;166;1.440;2.268;0.217;23;3.1;0.00406;3.273;
ANNU REV ENV RESOUR;1543-5938;1402;4.968;7.250;0.000;18;6.5;0.00482;3.283;
ANNU REV FINANC ECON;1941-1367;34;0.694;0.627;0.105;19;;0.00099;1.111;
ANNU REV INFORM SCI;0066-4200;380;2.174;2.590;;;8.0;0.00114;1.067;
ANNU REV LAW SOC SCI;1550-3585;292;1.080;2.048;0.000;23;5.1;0.00208;1.146;
ANNU REV POLIT SCI;1094-2939;1246;1.884;4.009;0.318;22;8.1;0.00733;3.783;
ANNU REV PSYCHOL;0066-4308;10635;15.265;26.624;4.818;22;9.5;0.02810;12.870;
ANNU REV PUBL HEALTH;0163-7525;3637;3.268;8.903;0.920;25;8.0;0.00883;4.079;
ANNU REV RESOUR ECON;1941-1340;99;0.949;1.426;0.118;17;;0.00106;0.893;
ANNU REV SOCIOL;0360-0572;5512;5.019;6.672;0.280;25;>10.0;0.00999;4.470;
ANTHR ARCHEOL EURAS;1061-1959;8;0.032;0.036;0.000;12;;0.00001;0.010;
ANTHROPOL ANZ;0003-5548;211;0.676;0.537;0.061;33;8.1;0.00029;0.122;
ANTHROPOL EDUC QUART;0161-7761;417;0.386;0.598;0.148;27;>10.0;0.00077;0.394;
ANTHROPOL FORUM;0066-4677;70;0.577;0.377;0.000;14;;0.00029;0.239;
ANTHROPOL NOTEB;1408-032X;15;0.139;;0.000;17;;0.00007;;
ANTHROPOL QUART;0003-5491;441;0.730;0.837;0.108;37;8.4;0.00130;0.467;
ANTHROPOL SOUTH AFR;0258-0144;16;0.143;0.169;0.000;5;;0.00007;0.066;
ANTHROPOL THEOR;1463-4996;301;0.880;;0.067;15;6.1;0.00184;;
ANTHROPOLOGIE;0003-5521;572;0.553;0.809;0.071;28;>10.0;0.00081;0.307;
ANTHROPOLOGIST;0972-0073;63;0.112;;0.014;74;;0.00014;;
ANTHROPOS;0257-9774;173;0.113;0.182;0.100;30;>10.0;0.00024;0.094;
ANTHROZOOS;0892-7936;528;1.000;1.419;0.025;40;9.3;0.00066;0.303;
ANTIPODE;0066-4812;1943;2.430;2.936;0.309;81;7.0;0.00636;1.295;
ANTIQUITY;0003-598X;1849;1.439;1.415;0.284;67;>10.0;0.00317;0.454;
ANTITRUST LAW J;0003-6056;372;1.048;1.168;;;8.2;0.00155;0.831;
ANU ESTUD MEDIEV;0066-5061;50;0.034;0.123;0.000;32;;0.00001;0.003;
ANXIETY STRESS COPIN;1061-5806;898;2.108;2.424;0.286;42;6.9;0.00239;0.830;
APPL COGNITIVE PSYCH;0888-4080;2583;1.469;1.856;0.297;101;8.4;0.00567;0.752;
APPL DEV SCI;1088-8691;722;0.727;1.469;0.182;11;9.5;0.00094;0.562;
APPL ECON;0003-6846;3127;0.437;0.655;0.119;360;8.4;0.00634;0.252;
APPL ECON LETT;1350-4851;1138;0.295;0.302;0.084;334;7.7;0.00322;0.129;
APPL ECON PERSPECT P;2040-5790;101;1.621;1.655;0.031;32;2.2;0.00076;0.749;
APPL ERGON;0003-6870;3045;1.728;1.998;0.250;136;8.8;0.00437;0.492;
APPL GEOGR;0143-6228;1544;2.779;3.150;0.775;218;3.6;0.00274;0.590;
APPL LINGUIST;0142-6001;1385;1.500;2.524;0.160;25;>10.0;0.00298;1.376;
APPL MEAS EDUC;0895-7347;406;0.579;0.740;0.000;17;>10.0;0.00087;0.517;
APPL NURS RES;0897-1897;693;0.932;1.208;0.098;41;8.6;0.00103;0.340;
APPL PSYCH MEAS;0146-6216;3095;1.079;1.391;0.206;34;>10.0;0.00336;1.106;
APPL PSYCHOL-HLTH WE;1758-0846;132;1.750;2.036;0.368;19;2.8;0.00075;0.783;
APPL PSYCHOL-INT REV;0269-994X;1679;1.533;3.256;0.438;32;8.7;0.00411;1.399;
APPL PSYCHOLINGUIST;0142-7164;1471;1.391;2.335;0.412;34;9.9;0.00280;1.015;
APPL PSYCHOPHYS BIOF;1090-0586;599;1.536;2.106;0.161;31;6.9;0.00116;0.539;
APPL RES QUAL LIFE;1871-2584;117;0.627;;0.040;25;4.1;0.00042;;
AQUICHAN;1657-5997;24;0.027;;0.000;13;;0.00002;;
ARCH CLIN NEUROPSYCH;0887-6177;2666;2.000;2.862;0.361;72;7.2;0.00495;0.851;
ARCH EUR SOCIOL;0003-9756;181;0.857;0.721;0.091;11;9.3;0.00043;0.362;
ARCH GEN PSYCHIAT;0003-990X;37412;13.772;14.466;2.488;125;>10.0;0.06130;5.625;
ARCH HIST EXACT SCI;0003-9519;210;0.514;0.467;0.000;16;>10.0;0.00100;0.622;
ARCH NAT HIST;0260-9541;85;0.111;;0.080;25;;0.00016;;
ARCH PSYCHIAT NURS;0883-9417;717;0.920;1.346;0.174;46;7.3;0.00133;0.356;
ARCH PSYCHOL RELIG;0084-6724;42;0.424;;0.000;18;;0.00028;;
ARCH SEX BEHAV;0004-0002;3517;3.280;3.502;0.405;131;6.5;0.00733;0.920;
ARCH SUICIDE RES;1381-1118;640;2.219;;0.179;28;4.9;0.00244;;
ARCHAEOL OCEAN;0003-8121;284;0.700;0.798;0.375;16;>10.0;0.00033;0.209;
ARCTIC ANTHROPOL;0066-6939;179;0.212;0.520;0.000;8;>10.0;0.00025;0.194;
AREA;0004-0894;1302;1.685;1.958;0.482;56;7.5;0.00329;0.792;
ARGOS-VENEZUELA;0254-1637;1;0.000;0.016;;;;0.00000;0.000;
ARGUM OECON;1233-5835;2;0.031;;0.000;15;;0.00001;;
ARGUMENTATION;0920-427X;224;0.717;;0.080;25;8.6;0.00038;;
ARMED FORCES SOC;0095-327X;305;0.426;0.558;0.000;31;8.6;0.00063;0.221;
ART PSYCHOTHER;0197-4556;349;0.489;0.659;0.083;60;9.1;0.00042;0.130;
ASIA EUR J;1610-2932;58;0.220;;0.032;31;;0.00028;;
ASIA PAC BUS REV;1360-2381;171;0.783;;0.688;32;4.8;0.00032;;
ASIA PAC EDUC REV;1598-1037;210;0.500;0.613;0.000;66;4.0;0.00087;0.195;
ASIA PAC J ANTHROPOL;1444-2213;70;0.300;;0.000;25;;0.00039;;
ASIA PAC J EDUC;0218-8791;103;0.397;0.406;0.032;31;4.9;0.00038;0.159;
ASIA PAC J HUM RESOU;1038-4111;187;0.548;0.911;0.040;25;6.0;0.00041;0.231;
ASIA PAC J MANAG;0217-4561;1080;4.099;;0.481;52;5.3;0.00179;;
ASIA PAC J SOC WORK;0218-5385;14;0.107;0.106;0.000;19;;0.00004;0.035;
ASIA PAC J TOUR RES;1094-1665;148;0.359;;0.026;39;6.7;0.00023;;
ASIA PAC LAW REV;1019-2557;8;0.100;0.067;;;;0.00003;0.022;
ASIA PAC VIEWP;1360-7456;274;0.771;1.008;0.409;22;6.2;0.00079;0.379;
ASIA-PAC EDUC RES;0119-5646;116;0.933;0.786;0.066;61;2.7;0.00031;0.136;
ASIA-PAC J ACCOUNT E;1608-1625;48;0.206;;0.136;22;;0.00011;;
ASIA-PAC J FINANC ST;2041-9945;66;0.417;0.351;0.100;30;;0.00013;0.049;
ASIA-PAC J PUBLIC HE;1010-5395;585;1.057;1.293;0.170;88;4.2;0.00144;0.292;
ASIA-PAC J TEACH EDU;1359-866X;196;0.362;0.638;0.000;24;6.7;0.00043;0.211;
ASIA-PAC PSYCHIAT;1758-5864;39;0.467;0.475;0.031;32;;0.00019;0.139;
ASIAN AM J PSYCHOL;1948-1985;88;1.750;1.977;0.000;21;;0.00031;0.402;
ASIAN BUS MANAG;1472-4782;170;1.333;0.918;1.556;27;2.5;0.00026;0.136;
ASIAN CASE RES J;0218-9275;3;0.040;0.016;0.000;8;;0.00001;0.006;
ASIAN ECON J;1351-3958;115;0.211;0.381;0.000;18;8.1;0.00029;0.173;
ASIAN ECON PAP;1535-3516;82;0.531;;0.067;15;;0.00059;;
ASIAN ECON POLICY R;1832-8105;95;0.280;0.629;2.600;20;;0.00072;0.662;
ASIAN J COMMUN;0129-2986;114;0.177;;0.000;34;5.7;0.00036;;
ASIAN J SOC PSYCHOL;1367-2223;438;0.544;1.048;0.065;31;8.2;0.00130;0.514;
ASIAN J SOC SCI;1568-4849;59;0.273;;0.000;23;;0.00025;;
ASIAN J TECHNOL INNO;1976-1597;45;0.300;;0.000;28;;0.00015;;
ASIAN J WOMEN STUD;1225-9276;34;0.000;0.101;0.000;15;;0.00004;0.028;
ASIAN J WTO INT HEAL;1819-5164;26;0.419;0.279;0.000;17;;0.00011;0.076;
ASIAN NURS RES;1976-1317;48;0.440;0.412;0.037;27;;0.00017;0.086;
ASIAN PAC MIGR J;0117-1968;107;0.186;0.333;0.000;18;9.8;0.00034;0.183;
ASIAN PERSPECT-SEOUL;0258-9184;108;0.241;;0.000;26;5.6;0.00055;;
ASIAN POPUL STUD;1744-1730;105;0.576;;0.062;16;5.3;0.00052;;
ASIAN STUD REV;1035-7823;82;0.349;;0.043;23;;0.00046;;
ASIAN SURV;0004-4687;669;0.473;0.580;0.031;65;>10.0;0.00238;0.430;
ASIAN WOMEN;1225-925X;4;0.029;;0.000;16;;0.00003;;
ASIAN-PAC ECON LIT;0818-9935;40;0.333;0.306;0.000;17;;0.00012;0.112;
ASLIB PROC;0001-253X;248;0.432;0.696;0.081;37;5.5;0.00100;0.311;
ASSESS EVAL HIGH EDU;0260-2938;916;0.912;;0.069;72;7.4;0.00217;;
ASSESSMENT;1073-1911;1635;2.430;2.938;0.295;44;7.0;0.00386;1.140;
ASSIST INFERM RIC;1592-5986;64;0.400;0.400;0.200;20;;0.00008;0.053;
ASSIST TECHNOL;1040-0435;306;0.643;1.176;0.750;28;7.0;0.00053;0.296;
ASTIN BULL;0515-0361;434;0.698;0.898;0.042;24;9.9;0.00156;0.609;
ATLANTIS-SPAIN;0210-6124;14;0.032;;0.000;17;;0.00033;;
ATTACH HUM DEV;1461-6734;865;1.483;1.942;0.865;37;7.5;0.00146;0.611;
ATTEN PERCEPT PSYCHO;1943-3921;1219;1.969;2.007;0.370;146;2.6;0.00884;0.915;
AUDITING-J PRACT TH;0278-0380;776;1.015;1.408;0.200;35;9.6;0.00110;0.483;
AUGMENT ALTERN COMM;0743-4618;541;1.184;1.654;0.846;26;6.8;0.00063;0.285;
AUST ABORIG STUD;0729-4352;64;0.290;0.157;0.000;15;;0.00006;0.039;
AUST ACAD RES LIBR;0004-8623;58;0.512;;0.059;17;;0.00017;;
AUST ACCOUNT REV;1035-6908;185;0.833;;0.529;34;6.0;0.00028;;
AUST CRIT CARE;1036-7314;240;0.953;;0.360;25;6.3;0.00038;;
AUST ECON HIST REV;0004-8992;72;0.355;0.414;0.000;14;;0.00023;0.192;
AUST ECON PAP;0004-900X;186;0.171;0.358;0.000;15;>10.0;0.00034;0.179;
AUST ECON REV;0004-9018;174;0.300;0.276;0.208;48;7.7;0.00046;0.131;
AUST EDUC RES;0311-6999;141;0.102;0.445;0.000;28;7.5;0.00031;0.162;
AUST FEMINIST STUD;0816-4649;124;0.111;0.387;0.000;27;6.4;0.00047;0.178;
AUST GEOGR;0004-9182;531;0.891;0.910;0.200;25;>10.0;0.00075;0.322;
AUST HEALTH REV;0156-5788;649;0.698;0.916;0.095;74;5.6;0.00171;0.257;
AUST J ADULT LEARN;1443-1394;28;0.031;;;;;0.00018;;
AUST J ADV NURS;0813-0531;350;0.338;0.693;0.000;19;6.8;0.00062;0.177;
AUST J AGR RESOUR EC;1364-985X;473;1.415;1.691;0.129;31;5.5;0.00233;0.878;
AUST J ANTHROPOL;1035-8811;131;0.919;0.744;0.053;19;6.1;0.00061;0.407;
AUST J EARLY CHILD;0312-5033;121;0.317;;0.028;36;6.1;0.00024;;
AUST J EDUC;0004-9441;162;0.351;0.489;0.056;18;9.3;0.00050;0.304;
AUST J GUID COUNS;1037-2911;103;1.152;0.885;0.000;17;4.7;0.00029;0.213;
AUST J INT AFF;1035-7718;164;0.538;0.551;0.000;33;5.6;0.00086;0.314;
AUST J LINGUIST;0726-8602;99;0.143;;0.500;16;;0.00025;;
AUST J MANAGE;0312-8962;220;0.629;0.690;0.042;24;10.0;0.00030;0.207;
AUST J POLIT SCI;1036-1146;217;0.388;0.449;0.214;42;6.4;0.00068;0.188;
AUST J PRIM HEALTH;1448-7527;225;0.755;0.631;0.160;50;4.3;0.00062;0.164;
AUST J PSYCHOL;0004-9530;522;0.941;1.026;1.464;28;9.7;0.00087;0.430;
AUST J PUBL ADMIN;0313-6647;313;0.537;0.824;0.026;39;7.2;0.00087;0.293;
AUST J RURAL HEALTH;1038-5282;685;1.545;1.441;0.250;52;5.5;0.00169;0.378;
AUST LIBR J;0004-9670;45;0.239;;0.000;22;;0.00015;;
AUST NZ J CRIMINOL;0004-8658;248;0.796;1.163;0.300;20;5.8;0.00088;0.486;
AUST NZ J FAM THER;0814-723X;100;0.604;;0.000;23;6.1;0.00020;;
AUST NZ J PSYCHIAT;0004-8674;4828;3.293;3.102;3.036;84;6.8;0.00950;0.926;
AUST NZ J PUBL HEAL;1326-0200;2312;1.639;1.833;0.554;74;8.2;0.00465;0.599;
AUST PSYCHOL;0005-0067;436;0.930;0.993;0.069;29;8.7;0.00077;0.305;
AUST SOC WORK;0312-407X;232;0.500;;0.625;32;6.3;0.00044;;
AUSTRALAS J AGEING;1440-6381;287;0.940;1.103;0.093;43;4.5;0.00080;0.263;
