Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADMIN SCI QUART;0001-8392;11539;3.684;7.539;0.083;12;>10.0;0.00879;5.093;
ADMIN SOC;0095-3997;523;0.944;1.235;0.128;39;7.6;0.00169;0.526;
ADMIN SOC WORK;0364-3107;248;0.587;1.000;0.037;27;6.8;0.00040;0.195;
ADOLESCENCE;0001-8449;1574;0.720;1.264;;0;>10.0;0.00214;0.417;
ADOLESCENT PSYCHIAT;0065-2008;50;0.143;0.259;;;;0.00004;0.082;
ADULT EDUC QUART;0741-7136;298;0.556;0.783;0.053;19;>10.0;0.00033;0.206;
ADV CHILD DEV BEHAV;0065-2407;340;1.250;2.116;0.071;14;8.6;0.00086;1.026;
ADV EXP SOC PSYCHOL;0065-2601;2845;6.545;10.367;0.833;12;>10.0;0.00378;6.499;
ADV HEALTH SCI EDUC;1382-4996;596;1.416;1.697;0.163;49;4.9;0.00212;0.561;
ADV NURS SCI;0161-9268;921;1.407;1.587;0.075;40;>10.0;0.00100;0.362;
ADV STRATEG MANAGE;0742-3322;262;0.143;0.636;2.571;14;8.3;0.00067;0.390;
AFFILIA J WOM SOC WO;0886-1099;200;0.582;0.667;0.000;30;6.8;0.00051;0.194;
AFR AFFAIRS;0001-9909;588;1.490;1.763;0.100;30;7.5;0.00289;1.136;
AFR ASIAN STUD;1569-2094;24;0.237;;0.000;19;;0.00017;;
AFR DEV REV;1017-6772;104;0.574;0.500;0.086;35;5.3;0.00023;0.105;
AFR J LIBR ARCH INFO;0795-4778;31;0.129;;0.000;14;;0.00007;;
AFR LINGUIST;0065-4124;12;0.091;;0.167;6;;0.00003;;
AFR SPECTR;0002-0397;41;0.381;0.272;0.000;12;;0.00030;0.152;
AFR STUD REV;0002-0206;233;0.481;;0.050;20;>10.0;0.00092;;
AFR STUD-UK;0002-0184;143;0.098;;0.038;26;8.8;0.00028;;
AFRICA;0001-9720;631;0.824;0.924;0.077;26;>10.0;0.00108;0.466;
AGEING SOC;0144-686X;1090;1.309;1.900;0.288;66;6.6;0.00261;0.559;
AGGRESS VIOLENT BEH;1359-1789;1151;1.409;2.057;0.178;45;6.8;0.00275;0.675;
AGGRESSIVE BEHAV;0096-140X;1747;1.804;2.520;0.297;37;7.9;0.00401;0.827;
AGING MENT HEALTH;1360-7863;1417;1.316;1.899;0.126;111;5.5;0.00401;0.498;
AGING NEUROPSYCHOL C;1382-5585;594;1.292;1.606;0.136;44;6.5;0.00200;0.645;
AGR ECON-BLACKWELL;0169-5150;1182;1.329;1.320;0.114;70;7.3;0.00385;0.548;
AGR HIST;0002-1482;177;0.258;0.244;0.062;16;>10.0;0.00009;0.059;
AGR HUM VALUES;0889-048X;616;1.054;1.466;0.139;36;7.0;0.00156;0.452;
AIDS BEHAV;1090-7165;2392;3.195;3.282;0.729;170;3.7;0.01182;1.177;
AIDS CARE;0954-0121;3223;1.593;2.147;0.166;211;5.5;0.01100;0.694;
AIDS EDUC PREV;0899-9546;1347;1.361;1.715;0.167;42;7.4;0.00293;0.565;
AIDS PATIENT CARE ST;1087-2914;1782;2.333;2.481;0.326;89;4.2;0.00769;0.798;
AJAR-AFR J AIDS RES;1608-5906;127;0.425;;0.095;21;4.6;0.00057;;
AJIDD-AM J INTELLECT;1944-7515;87;2.061;2.061;0.576;33;;0.00032;0.493;
ALCOHOL ALCOHOLISM;0735-0414;3255;2.599;2.691;0.488;80;7.5;0.00727;0.782;
ALCOHOL RES HEALTH;1535-7414;1043;0.562;2.872;0.038;26;8.1;0.00146;0.878;
ALTERNATIVES;0304-3754;235;0.357;0.776;0.048;21;8.2;0.00064;0.336;
AM ANN DEAF;0002-726X;422;0.694;0.800;0.083;36;9.9;0.00053;0.177;
AM ANTHROPOL;0002-7294;2408;1.803;2.100;0.188;48;>10.0;0.00387;0.949;
AM ANTIQUITY;0002-7316;1954;1.682;1.951;0.167;36;>10.0;0.00171;0.545;
AM BANKRUPT LAW J;0027-9048;160;0.513;0.630;0.000;14;8.5;0.00044;0.227;
AM BEHAV SCI;0002-7642;2143;0.492;1.026;0.369;84;9.8;0.00466;0.517;
AM BUS LAW J;0002-7766;234;1.576;1.682;1.059;17;4.3;0.00058;0.451;
AM CRIM LAW REV;0164-0364;330;0.738;0.613;0.242;33;7.9;0.00075;0.195;
AM ECON J-APPL ECON;1945-7782;87;1.588;1.588;0.775;40;;0.00130;1.976;
AM ECON J-ECON POLIC;1945-7731;44;2.111;2.111;0.194;31;;0.00097;2.774;
AM ECON J-MACROECON;1945-7707;4;0.158;0.158;0.028;36;;0.00004;0.101;
AM ECON J-MICROECON;1945-7669;42;1.600;1.600;0.320;25;;0.00113;2.906;
AM ECON REV;0002-8282;25786;3.150;4.278;0.391;215;>10.0;0.10048;5.599;
AM EDUC RES J;0002-8312;2306;2.479;3.343;0.333;27;>10.0;0.00501;1.807;
AM ETHNOL;0094-0496;1197;1.471;1.575;0.222;45;>10.0;0.00386;0.995;
AM HIST REV;0002-8762;1156;1.907;2.165;0.029;35;>10.0;0.00293;1.384;
AM INDIAN ALASKA NAT;0893-5394;76;0.053;0.422;0.000;3;;0.00016;0.182;
AM J ADDICTION;1055-0496;1340;1.695;2.056;0.056;71;5.7;0.00441;0.675;
AM J AGR ECON;0002-9092;4256;1.233;1.607;0.118;93;>10.0;0.00666;0.659;
AM J BIOETHICS;1526-5161;1371;3.986;4.041;11.103;39;2.8;0.00465;1.418;
AM J CLIN HYPN;0002-9157;189;0.257;;1.250;4;>10.0;0.00013;;
AM J COMMUN PSYCHOL;0091-0562;2721;1.722;2.087;0.761;67;>10.0;0.00394;0.733;
AM J COMP LAW;0002-919X;498;0.965;0.932;0.473;55;9.3;0.00097;0.342;
AM J DRUG ALCOHOL AB;0095-2990;1525;1.372;1.566;0.158;57;8.5;0.00334;0.515;
AM J ECON SOCIOL;0002-9246;332;0.321;0.381;0.064;47;>10.0;0.00091;0.232;
AM J EDUC;0195-6744;418;0.571;1.000;0.095;21;>10.0;0.00130;0.627;
AM J EVAL;1098-2140;437;1.157;1.556;0.238;21;6.7;0.00102;0.425;
AM J FAM THER;0192-6187;329;0.413;0.507;0.200;25;9.8;0.00040;0.137;
AM J GERIAT PSYCHIAT;1064-7481;3642;3.566;4.025;1.202;114;4.8;0.01293;1.168;
AM J HEALTH BEHAV;1087-3244;988;1.295;1.572;;;5.4;0.00358;0.568;
AM J HEALTH PROMOT;0890-1171;2119;2.020;2.642;0.264;53;7.9;0.00452;0.897;
AM J HUM BIOL;1042-0533;2014;2.021;2.347;0.365;104;5.7;0.00619;0.742;
AM J INT LAW;0002-9300;1080;0.865;0.858;0.544;57;>10.0;0.00184;0.375;
AM J LAW MED;0098-8588;295;1.250;1.505;0.824;17;5.9;0.00113;0.639;
AM J MANAG CARE;1088-0224;2474;3.033;2.836;0.497;157;5.2;0.01159;1.183;
AM J MENS HEALTH;1557-9883;111;1.238;1.052;0.200;35;2.4;0.00071;0.375;
AM J MENT RETARD;0895-8017;2186;2.176;2.399;;0;>10.0;0.00206;0.716;
AM J NURS;0002-936X;1059;1.007;1.171;0.300;50;7.0;0.00238;0.329;
AM J OCCUP THER;0272-9490;1958;1.672;1.806;1.765;68;9.1;0.00217;0.367;
AM J ORTHOPSYCHIAT;0002-9432;2864;1.872;2.498;0.274;62;>10.0;0.00506;0.915;
AM J PHYS ANTHROPOL;0002-9483;8606;2.693;3.013;0.583;187;>10.0;0.01388;0.901;
AM J POLIT SCI;0092-5853;5546;2.588;3.957;0.339;59;>10.0;0.02087;3.527;
AM J PSYCHIAT;0002-953X;42134;12.759;11.865;2.571;119;9.2;0.07849;4.070;
AM J PSYCHOL;0002-9556;1786;0.582;0.901;0.188;32;>10.0;0.00111;0.405;
AM J PUBLIC HEALTH;0090-0036;24154;3.850;4.792;0.770;330;9.2;0.05169;1.869;
AM J SOCIOL;0002-9602;10734;3.358;5.113;0.457;35;>10.0;0.01309;3.459;
AM J SPEECH-LANG PAT;1058-0360;878;2.018;2.290;0.138;29;7.8;0.00230;0.818;
AM LAW ECON REV;1465-7252;148;0.696;;0.059;17;5.4;0.00250;;
AM POLIT RES;1532-673X;334;0.716;1.071;0.093;43;5.4;0.00283;0.797;
AM POLIT SCI REV;0003-0554;7459;3.278;3.849;0.302;43;>10.0;0.01702;3.898;
AM PSYCHOL;0003-066X;14443;6.012;8.401;2.250;36;>10.0;0.01540;3.577;
AM REV PUBLIC ADM;0275-0740;427;1.000;1.485;0.250;36;6.3;0.00166;0.658;
AM SOCIOL REV;0003-1224;11353;3.693;5.840;0.385;39;>10.0;0.01651;3.994;
AM SPEECH;0003-1283;317;0.875;0.708;0.269;26;>10.0;0.00069;0.372;
AMFITEATRU ECON;1582-9146;79;0.320;;0.392;51;;0.00004;;
AMME IDARESI DERG;1300-1795;36;0.000;;0.000;26;;0.00001;;
AN PSICOL-SPAIN;0212-9728;246;1.338;;0.062;48;3.6;0.00039;;
AN SIST SANIT NAVAR;1137-6627;173;0.252;;0.135;52;4.4;0.00030;;
ANDAMIOS;1870-0063;5;0.018;;0.000;22;;0.00001;;
ANN AM ACAD POLIT SS;0002-7162;1876;1.039;1.506;0.118;76;9.5;0.00698;0.916;
ANN ASSOC AM GEOGR;0004-5608;3204;1.889;2.986;0.441;68;>10.0;0.00382;0.896;
ANN BEHAV MED;0883-6612;3101;3.984;4.254;0.290;62;6.7;0.00878;1.402;
ANN CLIN PSYCHIATRY;1040-1237;940;2.545;;0.478;23;6.3;0.00240;;
ANN DYSLEXIA;0736-9387;410;1.526;1.622;0.154;13;8.8;0.00055;0.631;
ANN ECON FINANC;1529-7373;49;0.278;;0.062;16;;0.00013;;
ANN HUM BIOL;0301-4460;1558;1.713;1.575;0.246;61;9.7;0.00256;0.460;
ANN PSYCHOL;0003-5033;230;0.240;0.379;0.120;25;>10.0;0.00025;0.102;
ANN REGIONAL SCI;0570-1864;608;1.010;0.984;0.161;62;7.5;0.00175;0.368;
ANN SCI;0003-3790;233;0.222;0.326;0.111;18;>10.0;0.00029;0.169;
ANN TOURISM RES;0160-7383;3698;1.949;3.140;0.212;52;>10.0;0.00280;0.614;
ANNU REV ANTHROPOL;0084-6570;1998;1.700;3.550;0.138;29;>10.0;0.00380;1.634;
ANNU REV APPL LINGUI;0267-1905;290;0.591;;0.143;14;8.5;0.00067;;
ANNU REV CLIN PSYCHO;1548-5943;1126;9.743;11.837;1.400;25;4.0;0.00846;4.741;
ANNU REV ECON;1941-1383;40;1.762;1.762;;;;0.00106;2.613;
ANNU REV ENV RESOUR;1543-5938;973;3.737;8.072;0.385;13;5.3;0.00494;3.070;
ANNU REV FINANC ECON;1941-1367;6;0.400;0.400;0.000;14;;0.00020;0.678;
ANNU REV INFORM SCI;0066-4200;428;2.000;2.354;;0;7.4;0.00142;1.125;
ANNU REV LAW SOC SCI;1550-3585;149;1.000;1.652;0.032;31;4.0;0.00154;0.894;
ANNU REV POLIT SCI;1094-2939;1019;3.000;3.645;0.400;25;7.3;0.00629;3.030;
ANNU REV PSYCHOL;0066-4308;8666;18.288;21.727;4.077;26;8.8;0.02400;10.224;
ANNU REV PUBL HEALTH;0163-7525;3144;8.609;11.070;1.000;30;7.8;0.00987;4.465;
ANNU REV RESOUR ECON;1941-1340;30;1.000;1.000;0.056;18;;0.00017;0.303;
ANNU REV SOCIOL;0360-0572;4759;3.592;5.028;0.520;25;>10.0;0.00660;3.120;
ANTHR ARCHEOL EURAS;1061-1959;12;0.031;0.076;0.000;15;;0.00001;0.007;
ANTHROPOL ANZ;0003-5548;186;0.224;0.357;0.000;9;9.7;0.00022;0.066;
ANTHROPOL EDUC QUART;0161-7761;436;0.841;0.930;0.200;20;>10.0;0.00103;0.466;
ANTHROPOL FORUM;0066-4677;70;0.267;;0.083;12;;0.00037;;
ANTHROPOL QUART;0003-5491;328;0.629;0.773;0.069;29;8.5;0.00129;0.473;
ANTHROPOL SOUTH AFR;0258-0144;8;0.130;;0.000;7;;0.00004;;
ANTHROPOL THEOR;1463-4996;205;1.000;;0.276;29;5.3;0.00137;;
ANTHROPOLOGIE;0003-5521;517;0.654;0.828;0.000;24;>10.0;0.00081;0.258;
ANTHROPOS;0257-9774;158;0.131;0.175;0.053;19;>10.0;0.00006;0.022;
ANTIPODE;0066-4812;1313;1.284;2.113;0.567;67;7.2;0.00426;0.885;
ANTIQUITY;0003-598X;1541;0.969;0.995;0.211;76;>10.0;0.00212;0.277;
ANTITRUST LAW J;0003-6056;403;0.490;1.100;1.375;16;8.3;0.00110;0.472;
ANU ESTUD MEDIEV;0066-5061;53;0.054;;0.031;32;;0.00000;;
ANXIETY STRESS COPIN;1061-5806;573;1.825;1.704;0.158;38;6.7;0.00152;0.550;
APPL COGNITIVE PSYCH;0888-4080;2045;1.626;2.072;0.425;87;7.2;0.00622;0.826;
APPL DEV SCI;1088-8691;624;0.800;;0.200;15;8.3;0.00152;;
APPL ECON;0003-6846;2944;0.424;0.740;0.050;298;8.6;0.00715;0.306;
APPL ECON LETT;1350-4851;1034;0.245;0.354;0.037;323;6.7;0.00352;0.158;
APPL ECON PERSPECT P;2040-5790;8;;;0.241;29;;0.00002;;
APPL ERGON;0003-6870;2236;1.467;1.689;0.492;126;8.4;0.00413;0.474;
APPL GEOGR;0143-6228;634;1.904;2.320;0.441;59;6.2;0.00122;0.515;
APPL LINGUIST;0142-6001;1142;1.340;2.068;0.241;29;>10.0;0.00208;0.916;
APPL MEAS EDUC;0895-7347;299;0.325;0.742;0.095;21;9.4;0.00068;0.379;
APPL NURS RES;0897-1897;690;1.111;1.453;0.222;36;7.7;0.00123;0.393;
APPL PREV PSYCHOL;0962-1849;291;2.000;2.889;;;>10.0;0.00038;1.090;
APPL PSYCH MEAS;0146-6216;2552;1.137;1.497;0.100;40;>10.0;0.00250;0.854;
APPL PSYCHOL-INT REV;0269-994X;1431;2.750;3.036;0.355;31;8.3;0.00384;1.178;
APPL PSYCHOLINGUIST;0142-7164;1302;1.068;2.410;0.172;29;9.9;0.00266;0.952;
APPL PSYCHOPHYS BIOF;1090-0586;425;1.346;1.633;0.214;28;6.2;0.00094;0.402;
AQUICHAN;1657-5997;6;0.050;;0.000;18;;0.00000;;
ARCH CLIN NEUROPSYCH;0887-6177;2228;2.304;2.870;0.413;63;6.2;0.00623;0.889;
ARCH EUR SOCIOL;0003-9756;146;0.269;0.535;0.182;11;7.7;0.00049;0.356;
ARCH GEN PSYCHIAT;0003-990X;34536;10.782;15.618;2.222;126;>10.0;0.07330;6.065;
ARCH HIST EXACT SCI;0003-9519;185;0.400;0.435;0.000;17;>10.0;0.00045;0.272;
ARCH PSYCHIAT NURS;0883-9417;603;0.977;1.221;0.049;41;7.8;0.00109;0.297;
ARCH SEX BEHAV;0004-0002;3126;3.660;3.873;1.044;114;7.0;0.00657;1.023;
ARCH SUICIDE RES;1381-1118;463;1.671;;0.387;31;4.1;0.00197;;
ARCHAEOL OCEAN;0003-8121;299;0.949;1.147;0.133;15;>10.0;0.00054;0.370;
ARCTIC ANTHROPOL;0066-6939;257;0.400;0.397;0.056;18;>10.0;0.00016;0.120;
AREA;0004-0894;1046;1.548;2.010;0.304;46;7.1;0.00295;0.729;
ARGUM OECON;1233-5835;3;0.067;;0.000;18;;0.00000;;
ARMED FORCES SOC;0095-327X;419;0.615;0.960;0.273;33;8.8;0.00096;0.330;
ART PSYCHOTHER;0197-4556;264;0.609;0.706;0.128;47;7.8;0.00027;0.092;
ASIA EUR J;1610-2932;67;0.237;;0.000;27;;0.00022;;
ASIA PAC EDUC REV;1598-1037;52;0.112;0.188;0.000;54;;0.00019;0.055;
ASIA PAC J ANTHROPOL;1444-2213;76;0.385;;0.864;22;;0.00038;;
ASIA PAC J EDUC;0218-8791;49;0.119;;0.036;28;;0.00020;;
ASIA PAC J HUM RESOU;1038-4111;132;0.718;;0.000;17;5.7;0.00040;;
ASIA PAC J MANAG;0217-4561;836;3.355;;0.588;34;4.8;0.00223;;
ASIA PAC J SOC WORK;0218-5385;13;0.077;0.085;0.000;14;;0.00002;0.021;
ASIA PAC LAW REV;1019-2557;9;0.059;;0.000;17;;0.00001;;
ASIA PAC VIEWP;1360-7456;186;0.500;;0.000;23;5.7;0.00078;;
ASIA-PAC EDUC RES;0119-5646;51;0.632;;0.560;25;;0.00006;;
ASIA-PAC J FINANC ST;2041-9945;48;0.410;;0.033;30;;0.00009;;
ASIA-PAC J PUBLIC HE;1010-5395;289;0.988;;0.104;77;5.1;0.00066;;
ASIA-PAC J TEACH EDU;1359-866X;139;0.644;;0.045;22;5.4;0.00031;;
ASIA-PAC PSYCHIAT;1758-5864;30;1.200;1.200;0.214;28;;0.00001;0.026;
ASIAN BUS MANAG;1472-4782;53;0.610;;0.043;23;;0.00032;;
ASIAN CASE RES J;0218-9275;6;0.000;;0.000;12;;0.00002;;
ASIAN ECON J;1351-3958;91;0.205;;0.056;18;;0.00027;;
ASIAN ECON PAP;1535-3516;70;0.303;;0.176;17;;0.00031;;
ASIAN ECON POLICY R;1832-8105;107;0.622;;3.467;15;1.2;0.00047;;
ASIAN J COMMUN;0129-2986;79;0.420;;0.000;28;;0.00033;;
ASIAN J SOC PSYCHOL;1367-2223;389;0.897;1.176;0.767;30;6.5;0.00145;0.569;
ASIAN J SOC SCI;1568-4849;52;0.053;;0.318;44;;0.00006;;
ASIAN J TECHNOL INNO;1976-1597;42;0.556;;0.100;20;;0.00015;;
ASIAN J WOMEN STUD;1225-9276;50;0.206;0.233;0.062;16;;0.00006;0.041;
ASIAN J WTO INT HEAL;1819-5164;28;0.333;;0.118;17;;0.00019;;
ASIAN NURS RES;1976-1317;11;0.133;0.156;0.059;17;;0.00003;0.028;
ASIAN PAC MIGR J;0117-1968;104;0.205;;0.095;21;6.4;0.00042;;
ASIAN PERSPECT-SEOUL;0258-9184;79;0.326;;0.000;27;;0.00039;;
ASIAN SURV;0004-4687;543;0.468;0.459;0.030;67;9.7;0.00116;0.189;
ASIAN WOMEN;1225-925X;12;0.206;;0.059;17;;0.00001;;
ASIAN-PAC ECON LIT;0818-9935;47;0.250;;0.286;14;;0.00014;;
ASLIB PROC;0001-253X;249;0.600;0.719;0.026;38;5.7;0.00089;0.248;
ASSESS EVAL HIGH EDU;0260-2938;724;0.734;;0.034;58;7.3;0.00149;;
ASSESSMENT;1073-1911;1279;2.338;3.151;0.308;39;6.4;0.00389;1.078;
ASSIST INFERM RIC;1592-5986;16;0.135;;0.067;15;;0.00002;;
ASSIST TECHNOL;1040-0435;329;1.575;1.538;;;7.0;0.00075;0.415;
ASTIN BULL;0515-0361;482;0.705;1.089;0.026;38;>10.0;0.00179;0.682;
ATTACH HUM DEV;1461-6734;586;1.426;2.032;1.522;23;6.1;0.00157;0.646;
ATTEN PERCEPT PSYCHO;1943-3921;333;1.333;1.364;0.563;190;1.3;0.00156;0.489;
AUDITING-J PRACT TH;0278-0380;563;1.021;1.489;0.167;24;9.4;0.00120;0.657;
AUGMENT ALTERN COMM;0743-4618;673;1.020;1.721;0.167;24;9.7;0.00066;0.280;
AUST ABORIG STUD;0729-4352;80;0.091;;;;;0.00018;;
AUST ACAD RES LIBR;0004-8623;53;0.457;0.886;0.062;16;;0.00026;0.385;
AUST ACCOUNT REV;1035-6908;89;0.356;;0.161;31;;0.00009;;
AUST ECON HIST REV;0004-8992;95;0.333;;0.056;18;;0.00019;;
AUST ECON PAP;0004-900X;198;0.388;;0.045;22;9.3;0.00045;;
AUST ECON REV;0004-9018;164;0.256;;0.024;42;7.2;0.00056;;
AUST EDUC RES;0311-6999;115;0.268;0.424;0.000;13;7.2;0.00021;0.109;
AUST FEMINIST STUD;0816-4649;153;0.710;0.582;0.027;37;5.8;0.00095;0.365;
AUST GEOGR;0004-9182;558;0.845;1.248;0.067;30;8.4;0.00085;0.348;
AUST J ADULT LEARN;1443-1394;16;0.041;;;;;0.00006;;
AUST J ADV NURS;0813-0531;285;0.379;0.737;0.069;29;6.4;0.00053;0.153;
AUST J AGR RESOUR EC;1364-985X;369;1.117;1.374;0.088;34;5.7;0.00138;0.511;
AUST J ANTHROPOL;1035-8811;116;0.545;;0.167;18;7.1;0.00070;;
AUST J EARLY CHILD;0312-5033;53;0.193;0.509;;;;0.00023;0.205;
AUST J EDUC;0004-9441;105;0.222;;0.111;18;9.9;0.00017;;
AUST J GUID COUNS;1037-2911;52;0.290;;0.000;18;;0.00016;;
AUST J INT AFF;1035-7718;147;0.508;0.517;0.125;32;5.6;0.00059;0.206;
AUST J LINGUIST;0726-8602;94;0.208;;0.087;23;;0.00023;;
AUST J MANAGE;0312-8962;232;0.469;;0.800;15;9.9;0.00019;;
AUST J POLIT SCI;1036-1146;231;0.440;0.619;0.095;42;5.7;0.00076;0.209;
AUST J PRIM HEALTH;1448-7527;163;0.408;;0.627;51;4.1;0.00028;;
AUST J PSYCHOL;0004-9530;464;0.644;0.922;1.423;26;9.8;0.00080;0.400;
AUST J PUBL ADMIN;0313-6647;301;0.778;0.759;0.027;37;6.5;0.00063;0.192;
AUST J RURAL HEALTH;1038-5282;690;1.070;;0.268;41;5.8;0.00156;;
AUST NZ J CRIMINOL;0004-8658;179;0.821;0.757;0.077;26;6.6;0.00061;0.305;
AUST NZ J FAM THER;0814-723X;56;0.282;;0.000;10;;0.00015;;
AUST NZ J PSYCHIAT;0004-8674;4008;2.418;2.934;0.421;126;6.5;0.01025;0.869;
AUST NZ J PUBL HEAL;1326-0200;1962;1.529;1.722;0.162;111;7.5;0.00452;0.544;
AUST PSYCHOL;0005-0067;414;0.589;1.022;0.655;29;7.9;0.00065;0.243;
AUSTRALAS J AGEING;1440-6381;138;0.740;;0.077;26;3.6;0.00063;;
AUSTRALAS J EDUC TEC;1449-3098;350;1.655;;0.380;71;3.1;0.00070;;
AUSTRALAS J ENV MAN;1448-6563;104;0.457;;0.050;20;4.9;0.00026;;
AUSTRALAS PSYCHIATRY;1039-8562;482;0.917;;0.364;88;4.2;0.00118;;
AUTISM;1362-3613;1028;2.606;3.138;0.083;36;5.8;0.00321;0.952;
AUTISM RES;1939-3792;210;3.095;3.095;0.359;39;2.0;0.00168;1.377;
B ASOC GEOGR ESP;0212-9426;54;0.109;0.153;0.000;47;;0.00026;0.053;
B ATOM SCI;0096-3402;234;1.057;0.632;0.735;49;3.6;0.00119;0.375;
B ECON RES;0307-3378;171;0.163;;0.042;24;>10.0;0.00032;;
B HIST MED;0007-5140;465;0.641;0.829;0.000;16;>10.0;0.00113;0.556;
B INDONES ECON STUD;0007-4918;166;0.935;0.943;0.800;15;6.4;0.00066;0.489;
B MENNINGER CLIN;0025-9284;330;0.710;0.800;0.067;15;>10.0;0.00037;0.241;
BALT J ECON;1406-099X;3;0.167;;0.000;8;;0.00001;;
BALT J MANAG;1746-5265;61;0.525;;0.400;20;;0.00007;;
BARIAT NURS SURG PAT;1557-1459;61;0.652;;0.040;25;;0.00019;;
BASIC APPL SOC PSYCH;0197-3533;938;0.736;1.326;0.083;36;>10.0;0.00234;0.678;
BE J ECON ANAL POLI;1935-1682;179;0.554;;0.139;115;3.0;0.00352;;
BE J MACROECON;1935-1690;85;0.526;;0.081;37;;0.00137;;
BE J THEOR ECON;1935-1704;63;0.303;;0.135;52;;0.00123;;
BEHAV ANALYST;0738-6729;212;0.645;0.761;0.263;19;9.9;0.00024;0.183;
BEHAV BRAIN SCI;0140-525X;5902;21.952;24.509;3.667;6;>10.0;0.01261;11.401;
BEHAV CHANGE;0813-4839;226;0.450;0.710;0.000;19;7.9;0.00045;0.234;
BEHAV COGN PSYCHOTH;1352-4658;815;1.491;1.383;0.152;46;7.1;0.00188;0.383;
BEHAV DISORDERS;0198-7429;441;0.684;1.143;0.636;22;9.3;0.00045;0.255;
BEHAV GENET;0001-8244;3167;3.000;3.123;0.681;69;9.3;0.00798;1.294;
BEHAV INFORM TECHNOL;0144-929X;824;0.835;1.426;0.083;48;7.5;0.00160;0.409;
BEHAV INTERVENT;1072-0847;249;0.683;1.027;0.217;23;6.2;0.00064;0.299;
BEHAV MED;0896-4289;510;0.839;1.377;0.056;18;>10.0;0.00057;0.425;
BEHAV MODIF;0145-4455;1155;1.585;2.035;0.250;28;7.8;0.00266;0.606;
BEHAV PROCESS;0376-6357;2293;1.564;1.805;0.213;155;6.3;0.00712;0.629;
BEHAV PSYCHOL;1132-9483;105;0.421;;0.094;32;5.2;0.00010;;
